ID#	10
Name	isobutyrate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
1	2017-06-26_000.lcd	BLANK	No injection	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
2	2017-06-26_001.lcd	STD-0111	40 mM Mix	20.812	307316	1.332	19.800	21.708	10549	-----	41.08729	12372.299	1.030	0.436
3	2017-06-26_002.lcd	STD-0112	20 mM Mix	20.828	149596	1.333	19.842	21.842	5156	-----	20.00053	12532.725	1.019	0.433
4	2017-06-26_003.lcd	STD-0113	10 mM Mix	20.839	72638	1.334	19.892	21.558	2562	-----	9.71150	12716.655	0.983	0.430
5	2017-06-26_004.lcd	STD-0114	5 mM Mix	20.844	35502	1.334	19.942	21.542	1261	-----	4.74652	12847.348	0.971	0.429
6	2017-06-26_005.lcd	STD-0115	2.5 mM Mix	20.847	18037	1.334	20.008	21.475	649	-----	2.41151	13077.505	0.947	0.426
7	2017-06-26_006.lcd	STD-0116	1 mM Mix	20.851	6276	1.334	20.175	21.425	230	-----	0.83911	13174.871	0.915	0.424
8	2017-06-26_007.lcd	STD-0117	0.5 mM Mix	20.850	3241	1.334	20.208	21.458	120	-----	0.43331	13456.387	0.902	0.420
9	2017-06-26_008.lcd	STD-0118	0.25 mM Mix	20.837	1622	1.334	20.308	21.408	61	-----	0.21680	13933.461	0.880	0.420
10	2017-06-26_009.lcd	STD-0119	0.1 mM Mix	20.851	617	1.334	20.392	21.342	24	-----	0.08248	16533.950	0.829	0.409
11	2017-06-26_010.lcd	BLANK	Water	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
12	2017-06-26_011.lcd	P3-A01		21.317	3780	1.364	20.442	21.575	92	-----	0.50533	15416.835	1.081	0.796
13	2017-06-26_012.lcd	P3-A02		20.790	-22	1.330	20.375	21.125	1	-----	0.00000	273038.151	0.000	0.095
14	2017-06-26_013.lcd	P3-A03		20.839	915	1.333	20.358	21.208	36	-----	0.12233	14310.907	0.774	0.405
15	2017-06-26_014.lcd	P3-A04		20.823	36	1.332	20.258	21.442	29	-----	0.00484	50930.934	0.368	0.234
16	2017-06-26_015.lcd	P3-A05		20.837	439	1.333	20.475	21.075	24	-----	0.05875	31182.522	0.541	0.292
17	2017-06-26_016.lcd	P3-A06		20.830	405	1.333	20.492	21.042	25	-----	0.05412	30299.318	0.473	0.267
18	2017-06-26_017.lcd	P3-A07		20.792	1441	1.330	20.525	21.125	65	-----	0.19271	17768.186	0.578	0.380
19	2017-06-26_018.lcd	P3-A08		20.743	1072	1.327	20.342	21.075	40	-----	0.14338	12462.678	0.685	0.461
20	2017-06-26_019.lcd	P3-A09		20.814	322	1.332	20.408	21.075	18	-----	0.04306	31932.124	0.602	0.272
21	2017-06-26_020.lcd	P3-A10		20.831	734	1.332	20.625	21.108	43	-----	0.09813	33584.163	0.459	0.288
22	2017-06-26_021.lcd	P3-A11		20.814	257	1.331	20.425	21.125	12	-----	0.03430	20174.192	0.601	0.365
23	2017-06-26_022.lcd	P3-A12		20.826	438	1.332	20.542	21.008	29	-----	0.05854	40813.569	0.432	0.257
24	2017-06-26_023.lcd	P3-B01		20.831	316	1.333	20.558	21.008	21	-----	0.04225	42966.471	0.425	0.243
25	2017-06-26_024.lcd	P3-B02		20.821	644	1.332	20.475	21.075	35	-----	0.08614	28707.640	0.527	0.298
26	2017-06-26_025.lcd	P3-B03		20.788	135	1.330	20.392	21.075	6	-----	0.01807	35886.114	0.648	0.322
27	2017-06-26_026.lcd	P3-B04		20.811	142	1.331	20.358	21.008	10	-----	0.01904	33940.808	0.467	0.269
28	2017-06-26_027.lcd	P3-B05		20.827	78	1.333	20.592	21.008	5	-----	0.01038	42875.827	0.386	0.257
29	2017-06-26_028.lcd	P3-B06		20.815	361	1.332	20.475	21.042	21	-----	0.04832	30620.341	0.513	0.281
30	2017-06-26_029.lcd	P3-B07		20.828	1235	1.333	20.442	21.108	64	-----	0.16507	23838.116	0.580	0.319
31	2017-06-26_030.lcd	P3-B08		20.837	295	1.333	20.475	21.042	17	-----	0.03938	30261.621	0.494	0.279
32	2017-06-26_031.lcd	P3-B09		20.844	520	1.333	20.458	21.075	29	-----	0.06951	27076.820	0.535	0.293
33	2017-06-26_032.lcd	P3-B10		20.811	312	1.332	20.492	20.992	22	-----	0.04175	47147.471	0.418	0.223
34	2017-06-26_033.lcd	P3-B11		20.492	-658	1.311	20.492	21.225	2	-----	0.00000	6980.355	0.000	0.000
35	2017-06-26_034.lcd	P3-B12		20.792	373	1.330	20.458	20.992	19	-----	0.04992	23523.479	0.000	0.333
36	2017-06-26_035.lcd	P3-C01		20.832	1029	1.333	20.392	21.108	50	-----	0.13760	22810.188	0.602	0.331
37	2017-06-26_036.lcd	P3-C02		20.769	109	1.329	20.442	20.992	6	-----	0.01455	28417.095	0.504	0.281
38	2017-06-26_037.lcd	P3-C03		-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
39	2017-06-26_038.lcd	P3-C04		20.766	141	1.329	20.392	21.175	14	-----	0.01879	29162.678	0.529	0.278
40	2017-06-26_039.lcd	P3-C05		20.764	67	1.329	20.392	20.992	6	-----	0.00891	73470.985	0.310	0.195
41	2017-06-26_040.lcd	P3-C06		20.851	-106	1.334	20.342	21.008	5	-----	0.00000	90354.409	0.000	0.166
42	2017-06-26_041.lcd	P3-C07		20.826	592	1.332	20.425	21.058	32	-----	0.07916	28435.699	0.570	0.299
43	2017-06-26_042.lcd	P3-C08		20.838	1815	1.333	20.525	21.292	80	-----	0.24260	18384.872	0.676	0.367
44	2017-06-26_043.lcd	P3-C09		20.811	774	1.332	20.408	21.042	46	-----	0.10347	32164.291	0.463	0.279
45	2017-06-26_044.lcd	P3-C10		20.773	77	1.329	20.542	20.975	5	-----	0.01030	51928.489	0.415	0.246
46	2017-06-26_045.lcd	P3-C11		20.844	339	1.333	20.375	21.075	15	-----	0.04527	23109.691	0.630	0.358
47	2017-06-26_046.lcd	P3-C12		20.780	809	1.330	20.375	21.042	35	-----	0.10811	16088.450	0.629	0.394
