ID#	8
Name	propionate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
1	2017-06-20_000.lcd	BLANK	No injection	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
2	2017-06-20_001.lcd	STD-0111	40 mM Mix	18.459	229252	1.183	17.667	19.050	9595	-----	56.06480	13813.287	0.813	0.365
3	2017-06-20_002.lcd	STD-0112	20 mM Mix	18.465	106222	1.183	17.783	18.975	4606	-----	25.97718	14388.751	0.759	0.359
4	2017-06-20_003.lcd	STD-0113	10 mM Mix	18.466	51824	1.183	17.983	18.967	2304	-----	12.67389	14840.008	0.726	0.354
5	2017-06-20_004.lcd	STD-0114	5 mM Mix	18.466	25070	1.183	18.067	18.942	1144	-----	6.13089	15397.672	0.689	0.349
6	2017-06-20_005.lcd	STD-0115	2.5 mM Mix	18.468	12475	1.183	18.117	18.900	589	-----	3.05095	16288.109	0.653	0.340
7	2017-06-20_006.lcd	STD-0116	1 mM Mix	18.466	4778	1.183	18.158	18.842	234	-----	1.16847	17495.237	0.602	0.332
8	2017-06-20_007.lcd	STD-0117	0.5 mM Mix	18.471	2878	1.183	18.175	18.825	143	-----	0.70385	17763.179	0.578	0.333
9	2017-06-20_008.lcd	STD-0118	0.25 mM Mix	18.459	1867	1.181	18.175	18.775	96	-----	0.45655	19141.699	0.548	0.321
10	2017-06-20_009.lcd	STD-0119	0.1 mM Mix	18.447	1291	1.181	18.183	18.758	66	-----	0.31574	19495.832	0.528	0.321
11	2017-06-20_010.lcd	BLANK	Water	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
12	2017-06-20_011.lcd	P2-A01		18.475	7908	1.184	18.125	18.850	319	-----	1.93390	11642.207	0.000	0.405
13	2017-06-20_012.lcd	P2-A02		18.489	5401	1.185	18.142	18.842	208	-----	1.32073	9463.731	0.000	0.000
14	2017-06-20_013.lcd	P2-A03		18.509	6660	1.186	18.175	18.858	267	-----	1.62872	9884.723	0.000	0.473
15	2017-06-20_014.lcd	P2-A04		18.465	4508	1.183	18.133	18.850	219	-----	1.10246	17302.536	0.616	0.333
16	2017-06-20_015.lcd	P2-A05		18.510	3726	1.186	18.150	18.783	149	-----	0.91126	6786.907	0.000	0.000
17	2017-06-20_016.lcd	P2-A06		18.514	1350	1.186	18.258	18.767	77	-----	0.33016	24380.051	0.469	0.289
18	2017-06-20_017.lcd	P2-A07		18.492	2739	1.184	18.225	18.808	144	-----	0.66985	19501.762	0.539	0.314
19	2017-06-20_018.lcd	P2-A08		18.467	5250	1.183	18.133	18.858	255	-----	1.28392	17027.276	0.618	0.334
20	2017-06-20_019.lcd	P2-A09		18.490	6318	1.185	18.175	18.867	310	-----	1.54504	17635.261	0.605	0.330
21	2017-06-20_020.lcd	P2-A10		18.470	5232	1.183	18.133	18.858	253	-----	1.27949	17011.245	0.620	0.335
22	2017-06-20_021.lcd	P2-A11		18.472	5512	1.183	18.133	18.867	266	-----	1.34800	16879.266	0.624	0.336
