"mtry","train_auc","Sens","Spec","ROCSD","SensSD","SpecSD","test_auc","run"
2,0.530566033859303,0.409903846153846,0.608814102564103,0.120559871240444,0.147303764115589,0.163522872521096,0.538172043010753,"run_1"
2,0.514267032380013,0.425,0.588557692307692,0.106837077709188,0.150623376354948,0.151612763767461,0.506451612903226,"run_2"
2,0.549778003780408,0.466570512820513,0.610673076923077,0.111765599237652,0.139243992719101,0.141854106689009,0.558064516129032,"run_3"
2,0.506839866863905,0.415384615384615,0.599615384615385,0.11726265866865,0.143947200804743,0.164052879107144,0.553763440860215,"run_4"
2,0.498924124753452,0.403717948717949,0.596891025641026,0.109222950676395,0.156586585608884,0.145970201655595,0.586559139784946,"run_5"
549,0.558418597961867,0.525320512820513,0.573685897435897,0.105895427407514,0.143942538669188,0.137328392216129,0.511290322580645,"run_6"
2,0.551057692307692,0.463653846153846,0.599839743589744,0.111254921106458,0.153272119277172,0.153747387954266,0.504838709677419,"run_7"
2,0.521222366042078,0.430673076923077,0.581602564102564,0.1116486784878,0.154469110780864,0.147813852007063,0.489784946236559,"run_8"
2,0.524982433431953,0.425384615384615,0.616089743589744,0.106260050243415,0.134189107928531,0.130482906436205,0.539784946236559,"run_9"
549,0.523372883793557,0.457147435897436,0.594038461538462,0.106202359202974,0.13586597583865,0.134106095095596,0.521505376344086,"run_10"
549,0.55817184418146,0.51099358974359,0.564230769230769,0.104209640429465,0.137039966132044,0.136589575833898,0.572043010752688,"run_11"
2,0.501672727646285,0.409551282051282,0.599038461538462,0.114046825213836,0.142910339661817,0.142564535344395,0.553763440860215,"run_12"
33,0.514962298652202,0.477147435897436,0.544134615384615,0.108070532224421,0.144532108721219,0.137474436115135,0.572043010752688,"run_13"
2,0.506330230933596,0.412660256410256,0.577339743589744,0.11330277883251,0.139916450556605,0.152645690991754,0.570967741935484,"run_14"
549,0.522965770874425,0.482980769230769,0.571794871794872,0.110593837809954,0.133314620210366,0.131261091452716,0.473655913978495,"run_15"
2,0.498439862754767,0.409647435897436,0.573974358974359,0.110798790186305,0.148248904751891,0.15183699664834,0.586559139784946,"run_16"
2,0.5031320882643,0.414294871794872,0.599487179487179,0.108793486351196,0.153690798487688,0.151070940428622,0.504838709677419,"run_17"
549,0.528705826758711,0.500288461538462,0.548301282051282,0.113887428777538,0.137303279506609,0.144742399536818,0.558602150537634,"run_18"
2,0.530837134286653,0.427884615384615,0.601570512820513,0.101528553429493,0.1386478718491,0.139781585539178,0.52258064516129,"run_19"
549,0.526719469099277,0.493397435897436,0.564775641025641,0.109924678936644,0.145659695694241,0.142671165943414,0.524193548387097,"run_20"
33,0.51334165433925,0.481698717948718,0.53599358974359,0.113895130490073,0.137950084122537,0.154069702802244,0.540860215053763,"run_21"
