sample	all_seqs	quality_filtered_seqs	human_filtered_seqs
SRR5665120	6090484	4653347	4645986
SRR5665142	1999042	1589596	1585611
SRR5665073	6294808	4926781	4917086
SRR5665137	2206796	1709759	1705497
SRR5665143	2191562	1684920	1679257
SRR5665049	4539697	3690125	3676935
SRR5665078	2759324	2128722	2124269
SRR5665158	2906129	1833969	1832290
SRR5665028	3474584	2732379	2728988
SRR5665058	2190478	1710860	1709562
SRR5665187	9073691	6991478	6982313
SRR5665183	2687050	1714342	1711587
SRR5665075	4680739	3656480	3644699
SRR5665060	8586	4145	4131
SRR5665074	3184063	2415434	2409230
SRR5665055	7340543	5113924	5107737
SRR5665079	4105943	3180451	3171742
SRR5665144	2551667	1866294	1864363
SRR5665186	5445120	4256238	4250929
SRR5665184	4689916	2911789	2906779
SRR5665024	9047	4558	4557
SRR5665050	3631540	2849351	2843460
SRR5665141	1329035	1063778	1059972
SRR5665185	2971249	1811317	1809066
SRR5665178	2043543	1601778	1599522
SRR5665135	2102705	1583900	1581558
SRR5665076	1342480	896402	894213
SRR5665116	1234951	967800	965385
SRR5665031	4872732	3973098	3969945
SRR5665122	10627653	8139570	8126178
SRR5665081	442	308	308
SRR5665044	3497454	2816893	2809679
SRR5665139	1885560	1481891	1477328
SRR5665159	1151046	687448	686774
SRR5665121	4692	1074	1063
SRR5665045	1839819	1460155	1456653
SRR5665053	2978141	2328387	2326325
SRR5665077	3736196	2925598	2920184
SRR5665123	5065976	3935193	3930301
SRR5665114	1017428	800781	797826
SRR5665138	9533	4810	4740
SRR5665162	5874603	3697196	3693492
SRR5665034	2518344	1764023	1762901
SRR5665134	2098201	1626600	1620018
SRR5665163	4361838	2750772	2748345
SRR5665072	7615263	5846591	5835765
SRR5665059	3405474	2503555	2499377
SRR5665140	2077497	1668430	1664664
SRR5665179	2849860	2188020	2184288
SRR5665032	1651553	1313539	1311456
SRR5665117	26610	19303	19233
SRR5665161	1265892	772773	771849
SRR5665041	3831485	3040251	3025373
SRR5665160	166567	98222	98007
SRR5665056	2796308	1978003	1975049
SRR5665027	3868073	3062085	3059645
SRR5665052	3600385	2603982	2601139
SRR5665157	1486445	1163392	1160235
SRR5665026	2424748	1917174	1914149
SRR5665119	1337957	1049423	1047211
SRR5665029	3153203	2501736	2497937
SRR5665035	2497490	1778951	1773362
SRR5665156	1519415	967316	965986
SRR5665182	5959384	4616965	4612075
SRR5665061	3065422	2230327	2226495
SRR5665155	3778278	2225063	2221501
SRR5665181	3910340	2891194	2888920
SRR5665033	2348884	1872885	1868612
SRR5665080	3078978	2382758	2376844
SRR5665042	2666888	2039404	2036766
SRR5665025	2425722	1913472	1911743
SRR5665054	4866991	3573066	3568422
SRR5665030	4826941	3721289	3715643
SRR5665043	5128506	4093159	4085069
SRR5665051	3176434	2283419	2278973
SRR5665047	3050172	2446678	2442359
SRR5665057	2512903	1756060	1753838
SRR5665115	1356823	1084967	1082477
SRR5665046	5165132	4068116	4060974
SRR5665180	5648293	4361259	4347445
SRR5665164	3031583	1841489	1839322
SRR5665103	3346351	2635222	2627373
SRR5665136	2613779	2042497	2037010
SRR5665118	2526559	1954022	1950018
SRR5665048	2543593	2016030	2011398
