kegg_ortholog,method,statistic,p.value,bh,group
K00467,Wilcoxon signed rank test with continuity correction,493,0.2674648893449185,0.722735345720139,Carcinoma
K00929,Wilcoxon signed rank test,515,0.2796056518409387,0.722735345720139,Carcinoma
K00156,Wilcoxon signed rank test,513,0.2913110763402074,0.722735345720139,Carcinoma
K01908,Wilcoxon signed rank test,512,0.2972828802967343,0.722735345720139,Carcinoma
K00925,Wilcoxon signed rank test,511,0.30333415550285286,0.722735345720139,Carcinoma
K01067,Wilcoxon signed rank test,511,0.30333415550285286,0.722735345720139,Carcinoma
K01895,Wilcoxon signed rank test,511,0.30333415550285286,0.722735345720139,Carcinoma
K00128,Wilcoxon signed rank test,510,0.309464928340276,0.722735345720139,Carcinoma
K01512,Wilcoxon signed rank test,508,0.3219649447173652,0.722735345720139,Carcinoma
K01905,Wilcoxon signed rank test,215,0.3276410400867464,0.722735345720139,Adenoma
K01035,Wilcoxon signed rank test,504,0.3479172533789097,0.722735345720139,Carcinoma
K01905,Wilcoxon signed rank test,504,0.3479172533789097,0.722735345720139,Carcinoma
K01034,Wilcoxon signed rank test,502,0.3613676728600695,0.722735345720139,Carcinoma
K01026,Wilcoxon signed rank test,496,0.4035956179195637,0.7495347189934755,Carcinoma
K01026,Wilcoxon signed rank test,206,0.45247250795364397,0.7842856804529829,Adenoma
K01035,Wilcoxon signed rank test,163,0.7643943428993227,0.9999999999999998,Adenoma
K00467,Wilcoxon signed rank test,169,0.8809217512607577,0.9999999999999998,Adenoma
K01067,Wilcoxon signed rank test,169,0.8809217512607577,0.9999999999999998,Adenoma
K01908,Wilcoxon signed rank test,169,0.8809217512607577,0.9999999999999998,Adenoma
K00156,Wilcoxon signed rank test,170,0.9006587266921999,0.9999999999999998,Adenoma
K01895,Wilcoxon signed rank test,170,0.9006587266921999,0.9999999999999998,Adenoma
K01034,Wilcoxon signed rank test,171,0.9204553663730624,0.9999999999999998,Adenoma
K01512,Wilcoxon signed rank test,171,0.9204553663730624,0.9999999999999998,Adenoma
K00128,Wilcoxon signed rank test,172,0.9402996003627779,0.9999999999999998,Adenoma
K00925,Wilcoxon signed rank test,174,0.9800839126110079,0.9999999999999998,Adenoma
K00929,Wilcoxon signed rank test,176,0.9999999999999998,0.9999999999999998,Adenoma
