"Variable","median_mda","iqr25","iqr75","Genus"
"Otu00238",1.41375956633303,0.341739945488974,5.4053508530253,"Odoribacter"
"acetate",0.837646208017554,0.478147780770239,1.18095136831055,NA
"Otu00020",0.818530995770919,0.465690110427273,1.19927263740935,"Enterobacteriaceae"
"Otu00014",0.750821200275724,0.51272879159481,1.06082066206685,"Lachnospiraceae"
"butyrate",0.723536360487264,0.47082937359728,1.06325259110858,NA
"Otu00396",0.713438805079473,0.382798814789981,1.93261963443274,"Blautia"
"Otu00028",0.696136642686103,0.441590216128816,1.03007317904955,"Ruminococcaceae"
"isobutyrate",0.627808159196469,0.414092530349785,0.798230992678256,NA
"Otu00008",0.584373518114539,0.455178462010225,0.880258272164627,"Blautia"
"Otu00249",0.58404510805383,0.414005701316285,0.879161224620066,"Clostridium_IV"
"Otu00010",0.582341960678419,0.461343324003158,0.79766765692474,"Anaerostipes"
"Otu00007",0.578705541640961,0.439546901338148,0.77498898001382,"Faecalibacterium"
"propionate",0.574801272851158,0.446924670395243,0.798436712875835,NA
"Otu00033",0.54741056949852,0.424935337646283,0.750448974665077,"Streptococcus"
"Otu00167",0.544751207015993,0.433021686340619,0.764500919180834,"Clostridiales"
"Otu00015",0.543541183281286,0.447110806620201,0.900822662417453,"Clostridiales"
"Otu00095",0.540415424108414,0.378159160323493,0.742818056782343,"Roseburia"
"Otu00006",0.524588214526742,0.437062492293531,0.659845182360809,"Bacteroides"
"Otu00021",0.518594701275287,0.419464459505373,0.834245256424117,"Ruminococcus"
"Otu00004",0.513817697272267,0.417663880512702,0.661607259015748,"Bacteroides"
"Otu00654",0.511560249585453,0.373580588912236,0.713424555721792,"Lachnospiraceae"
"Otu00013",0.486786531450973,0.414461270697036,0.659659306530941,"Faecalibacterium"
"Otu00009",0.474752657196334,0.423815349660772,0.589953175045846,"Blautia"
"Otu00024",0.461746645731008,0.417150626746735,0.538912809665445,"Blautia"
"Otu00036",0.456097193950981,0.387067516672747,0.65384327917383,"Clostridium_XlVa"
"Otu00003",0.453400938481158,0.406173475566993,0.547200139410161,"Anaerostipes"
"Otu00038",0.44558370945018,0.386965723039744,0.530582618662025,"Bacteroides"
"Otu00005",0.440186136609397,0.377411585026822,0.525296447070497,"Roseburia"
"Otu00001",0.436817059843234,0.389570491379072,0.512328353610044,"Blautia"
"Otu00107",0.431086247204488,0.359437142842972,0.562502787548838,"Roseburia"
"Otu00074",0.42717108362785,0.391800090311704,0.510062795142309,"Dorea"
"Otu00016",0.425621497595182,0.344934004199961,0.655205741466894,"Bacteroides"
"Otu00002",0.424733609457492,0.384900243388015,0.497426571871923,"Bacteroides"
