mtry,train_AUC,test_AUC,Sens,Spec,ROCSD,SensSD,SpecSD
522,0.7702530276816609,0.5898004434589801,0.6617647058823529,0.7088235294117647,0.09253386556373601,0.11866390624421769,0.11452371807904488
32,0.7220353950403691,0.6612541993281076,0.6630718954248366,0.6077205882352941,0.08707121737158374,0.11491677745284813,0.15614351427200504
32,0.7581200740099961,0.6485507246376812,0.7006535947712418,0.6470588235294118,0.08119540531028271,0.14214914126894126,0.13741893209774642
32,0.7087472366397539,0.7190315315315315,0.6033088235294117,0.6941176470588235,0.05668677314142385,0.14146266011918807,0.08540193854596526
32,0.7303825451749327,0.7065337763012182,0.6705882352941176,0.6555555555555556,0.10476704884090397,0.1498429268591592,0.09845228883133615
32,0.7554318050749712,0.5906319290465631,0.7137254901960784,0.663235294117647,0.11737737046652831,0.10414535857931653,0.1348618413895338
2,0.7469092416378316,0.7387387387387387,0.7562091503267974,0.5944852941176471,0.07223158733843703,0.11862339970395429,0.10229797304126136
2,0.7371587850826605,0.7042682926829269,0.6852941176470588,0.6084558823529412,0.08469456581813933,0.1158587761572023,0.1790495278403116
2,0.7272731641676279,0.7208333333333332,0.7334558823529411,0.6127450980392157,0.08906253352293157,0.09972885312928309,0.11903332779682078
32,0.7464040272971934,0.6031215161649944,0.7065359477124182,0.6720588235294118,0.07060646325365147,0.10933259843180612,0.06317636713273986
32,0.7410881632064591,0.6847222222222221,0.7107843137254902,0.6661764705882354,0.06362464667812415,0.08757045310900612,0.060380736442455986
2,0.7166546520569012,0.6394124168514412,0.7330065359477124,0.6220588235294118,0.09951856757823646,0.11665491845671315,0.14309192137336818
2,0.7346609477124183,0.6746031746031746,0.7558823529411764,0.5742647058823529,0.08740384777344742,0.11609410366764553,0.13114233926840305
32,0.7257016532103038,0.7062569213732004,0.6604575163398693,0.6764705882352942,0.07807107255892,0.13023193589746138,0.09300816647554055
2,0.7465061514801999,0.6291666666666667,0.7169934640522876,0.625,0.05374527013515466,0.10705572886285317,0.08797961321469396
