mtry,train_r2,test_r2,RMSE,MAE,RMSESD,RsquaredSD,MAESD
2,0.1623542266070247,0.0837831814168476,8.177453595164746,5.97504707307669,1.9563577422300005,0.08743749056279164,0.9427153058934962
2,0.11069724295833239,0.09286643875318479,9.582151872392528,6.537021315300437,3.4991129323305774,0.06804372093420598,1.091761612937384
32,0.1044737576446234,0.0866156730263068,9.377756271377269,6.587828457411714,4.383762278475507,0.05632968701529831,1.7300532754208982
2,0.14043986107464151,0.05767552805544407,9.353520224718029,6.38750656850763,3.513459198121044,0.10634443033426773,1.1686749866232446
2,0.12210721816964801,0.07600778990987822,8.144147536312147,5.890130582660282,1.6028326779624893,0.10122059167422073,0.8620851893458157
2,0.09413147637959754,0.10459584788393161,9.255973578298633,6.315178336688215,2.7289061161732975,0.05757452386834242,0.7646094518300811
2,0.08042662711677469,0.1888686528524527,9.585078658046259,6.610975281603564,3.4515036241161092,0.05200324154596497,1.116760157831932
32,0.11463946476954252,0.09777555138541039,8.8600693644555,6.084961219423136,3.947568729484095,0.08847560746312104,1.5077271360306816
2,0.1273304269130341,0.09198490357542077,9.848915093385939,6.704812635823357,3.130719140780413,0.06996312119480706,0.8486748079739826
2,0.11624122642538004,0.0959297098846863,9.21257211535852,6.3547956647986075,3.8954405615861587,0.0836304350694104,1.5099870863183058
32,0.13750893227349448,0.06782566773538556,9.345145850347414,6.5922484717811685,4.255214007556473,0.08973309391821103,1.6190195196521522
2,0.15350220942143292,0.1293939305641174,9.358110263310907,6.145268108800256,3.549881376245225,0.09970448191876653,1.291507483359861
2,0.16772031791401626,0.09597073289179792,7.486440453967755,5.370449464466674,1.4864471623116187,0.11738843608258981,0.8101146548048982
2,0.10814684504008183,0.13346085399418517,9.463784947189676,6.225690743000249,2.9829680446567606,0.0811387801776181,0.8530531263858184
32,0.10771765281006851,0.13477618789817258,9.507141952312459,6.449075243299826,3.3608535187470685,0.11883232243782228,1.1925029023329408
2,0.102784102782358,0.0857804029703303,8.977106151061593,5.957410758898065,3.4263360590592873,0.0732795357114504,0.8644792953605802
2,0.11186801026860496,0.07967935984398478,8.963579671905032,6.241649100614509,3.479508031976521,0.055874222311142877,1.3365590720477167
2,0.1236160239235072,0.07439077637031988,8.672708753004327,6.234182459859802,2.2088578405782515,0.08062745486308441,0.6789730615994408
32,0.11064886862785742,0.06907639520335207,8.653302056662186,6.208091489507794,2.6825903272110443,0.11667416864832879,0.9182483360029218
2,0.12676772563566868,0.06611700792456787,9.310080595946111,6.277301040557401,3.875915816991386,0.09152604546356277,1.1795151648998927
2,0.1355008244152866,0.1069855466639903,9.303439469877665,6.309671261685023,3.2999979961493593,0.06343271961829156,1.019529575109761
2,0.16316474437778564,0.06014784887902691,8.843614624173291,6.301263130778771,2.3906397848314844,0.08887696550387036,0.9133855860086889
2,0.1418882835906831,0.07328272359093213,9.217325711920974,6.388712630252095,4.334249683571959,0.079613914171317815,1.5855165511296765
2,0.15213736796508562,0.10296474794503951,9.327667718993352,6.47426989706183,4.284749268972815,0.07724941882540706,1.6159625906062798
2,0.15630971497919752,0.03211685061041292,9.458999841537512,6.453097544878292,3.6557953632868703,0.10394339191963213,1.1931075845930263
32,0.12810759287872917,0.023943147345688476,9.49892605429461,6.271520524681421,2.9110694620929443,0.1272144208506762,0.5950156174042168
32,0.12712552509258437,0.03954774938636485,9.880734590389345,6.682261807834993,2.442136256810759,0.08921737587880287,0.609162372972144
2,0.12160607821768572,0.04760776066300476,9.774330904597164,6.633632569352349,3.0814875263456782,0.11730890361063205,0.8867820234094286
2,0.10478356120398175,0.0996972550783185,9.489529264386764,6.319341003862129,3.3472702877103964,0.06845069500989576,1.0970996568183122
2,0.11745044570375783,0.07051806891136603,9.533095938502534,6.160744888042772,2.997811564278113,0.11244864044264416,0.7343993228366141
2,0.10271081972278809,0.11495781564467344,9.47836058081206,6.438741834256674,3.5235513346207092,0.10385101269051714,1.2625628806712583
2,0.09615316632517389,0.1288140302752696,9.153465438154763,6.128682487026623,3.7527518338059815,0.08584484654337962,1.1215209302177218
2,0.12063802548032024,0.09380346759900438,8.637506564656304,6.048027917468616,2.457776744328776,0.09440224227524235,0.8281342017943363
2,0.17183909004417994,0.09823392657447971,7.600053944906368,5.522029675035636,2.5254936781262023,0.1475507741952893,0.9854978346889767
2,0.1398614323562492,0.04754181033780969,9.484316928290388,6.4181747954816775,3.269826060053313,0.07066437176928475,0.9492239832291647
32,0.11620298814329108,0.030812527826447056,9.670051005381094,6.511936353910099,2.9321810498532335,0.06221584419469152,0.8341586081507782
2,0.10944636471921473,0.09745160029999211,9.311124034449454,6.471738389660371,3.9718965903259686,0.07277726679227092,1.376475278350135
2,0.1225417621592236,0.1017726458375473,8.88853126248508,6.259639007918987,1.9851526963879083,0.07026330606199663,0.7794797137724037
2,0.13932058228956315,0.07748765093914689,8.56766106408406,6.013076863257064,3.657942714666012,0.09258730040636622,1.1811292592018705
32,0.14841259799003287,0.03439805916383787,9.098568653782408,6.25168719278519,3.3496161182220474,0.12964115463381418,1.1241348750647806
2,0.12978677935226965,0.04602582072753414,8.773863668916487,6.3277954786299695,2.8919412339107384,0.0771585053587803,1.2878765482726702
2,0.1410521630297809,0.07556063012192726,9.043764661422896,5.9983950850745424,3.7158071051164843,0.09501389350318079,1.1410891045638876
2,0.12530797902439222,0.0731636814327874,9.5965576554098,6.587509540742056,3.1667275988688552,0.1069019470914907,1.0555020152195143
2,0.137575140385901,0.12782079677074654,8.185366173616533,5.881058066100617,2.6477220221290447,0.07359211113157654,1.1585716251670237
2,0.1030196917834702,0.11258961282235169,9.153869948378738,6.0820831376572695,3.2062480005884044,0.06084799365021406,0.9236747161916873
2,0.16018793536618703,0.03489170113401807,9.033206654577842,6.067979135015113,3.612564657892033,0.1182956873399338,1.260126093462993
