mtry,train_AUC,test_AUC,Sens,Spec,ROCSD,SensSD,SpecSD
2,0.65625,0.673076923076923,0.7166666666666667,0.49166666666666664,0.23136571179107893,0.18509256943286315,0.2095335796182901
2,0.66875,0.5833333333333334,0.905,0.09999999999999999,0.2113234495001489,0.1234908903522847,0.16101529717988264
522,0.6804166666666667,0.3977272727272727,0.625,0.6416666666666666,0.15540729541799447,0.27003086243366087,0.306941302145806
2,0.6595833333333333,0.6777777777777778,0.81,0.4083333333333333,0.1026284575965262,0.18226964152656422,0.24040218359354226
2,0.7358333333333333,0.4715909090909091,0.76,0.4666666666666667,0.19109415299438645,0.2258317958127243,0.3244178071256985
522,0.7358333333333333,0.4715909090909091,0.68,0.6666666666666666,0.19949009072206142,0.2668749186833079,0.3535533905932738
2,0.6595833333333333,0.5833333333333334,0.955,0.19166666666666665,0.18656712375621454,0.0955975359979999,0.22922978928641952
32,0.6616666666666666,0.6222222222222222,0.715,0.5083333333333333,0.32987090628731536,0.2858224001796298,0.3250118706284168
2,0.6904166666666667,0.5795454545454545,0.78,0.36666666666666664,0.2136998623603663,0.21883530082893138,0.21942686286812776
2,0.49583333333333335,0.7,0.905,0.09166666666666666,0.19417640255355947,0.1234908903522847,0.1493297783968401
522,0.6658333333333333,0.44886363636363635,0.68,0.5416666666666666,0.156603612212569,0.20843330934484644,0.1853008897795324
2,0.6835416666666667,0.4602272727272727,0.825,0.43333333333333335,0.21881601737504625,0.20581815058714115,0.19563129846287786
522,0.7133333333333334,0.5113636363636364,0.84,0.4333333333333333,0.09962894120648842,0.16295875415440422,0.21081851067789195
522,0.5808333333333333,0.5666666666666667,0.73,0.375,0.2783549559132754,0.3020301677353145,0.3148828902431843
2,0.589375,0.6166666666666667,0.785,0.325,0.19832061603329887,0.1700490125424628,0.2619077681405148
522,0.64625,0.5397727272727273,0.755,0.4083333333333333,0.26680009682656913,0.26817282984423807,0.41657406378372136
522,0.61375,0.5277777777777778,0.7,0.41666666666666663,0.22098658204616056,0.32914029430219166,0.2515384760593727
32,0.71875,0.5056818181818181,0.775,0.48333333333333334,0.2224933242166777,0.27512623365365296,0.259985754595502
2,0.6375,0.6166666666666667,0.79,0.275,0.23311828714725308,0.23781411975649291,0.31439241815379804
