"Variable","median_mda","iqr25","iqr75","Genus"
"Otu00173",3.04421389671365,2.73128745632035,3.36654020191669,"Porphyromonas"
"Otu00352",1.68522518616594,1.41045924324654,1.9732746917351,"Fusobacterium"
"Otu00487",1.07024053133892,0.863622794368009,1.28740382885577,"Gemella"
"Otu00011",0.835148206647652,0.700113749067126,1.05981984184994,"Parabacteroides"
"Otu00004",0.811462203592544,0.65796475174098,0.971177460032471,"Bacteroides"
"Otu00156",0.78782942380768,0.599100134708511,0.98635300808989,"Ruminococcaceae"
"Otu00033",0.776855990741366,0.622964302632982,0.935699705468689,"Streptococcus"
"Otu00031",0.707617285032549,0.600606160407426,0.799722113991081,"Collinsella"
"Otu00002",0.707410692173617,0.61566431587082,0.854390663618793,"Bacteroides"
"Otu00558",0.672662851172885,0.51602222586888,0.815558745296363,"Clostridium_XlVa"
"Otu00014",0.653909210270012,0.542048808250296,0.796728909612869,"Lachnospiraceae"
"Otu00037",0.617358733945811,0.48826599895565,0.743615030466249,"Alistipes"
"Otu00010",0.613742598907998,0.505869569404646,0.740583111200154,"Anaerostipes"
"Otu00028",0.594348370741411,0.465399226873689,0.773210281720389,"Ruminococcaceae"
"Otu00147",0.593571922837757,0.473546134140361,0.718472296945428,"Streptococcus"
"Otu00115",0.588483127038084,0.449014409349796,0.77025985315616,"Bilophila"
"Otu00065",0.583928060495648,0.464628870857974,0.705338489018252,"Odoribacter"
"Otu00211",0.57670586969359,0.425366832671145,0.677619627798613,"Clostridium_XlVb"
"Otu00215",0.562679897863809,0.440889517168012,0.769331545728107,"Prevotella"
"Otu00006",0.548816323924685,0.454791710383939,0.652344736084362,"Bacteroides"
"Otu00049",0.545053520145,0.430569561194254,0.652169696601929,"Ruminococcaceae"
"butyrate",0.530731690256211,0.438980519613004,0.681369772201366,NA
"Otu00438",0.522571493600705,0.397699707707783,0.6886550700394,"Lachnospiraceae"
"Otu00326",0.514974171655846,0.366938202970253,0.673330736542197,"Streptococcus"
"acetate",0.497696076699097,0.446431318827844,0.582310915961439,NA
"Otu00005",0.493724384660855,0.428767237938623,0.564657428140396,"Roseburia"
"Otu00074",0.491333567558861,0.40802996951382,0.589603695700887,"Dorea"
"Otu00035",0.482335872294376,0.388891239809868,0.659027705021137,"Akkermansia"
"Otu00375",0.476549989583892,0.34221432525742,0.603577139254556,"Clostridium_XlVa"
"Otu00008",0.470223126135549,0.393182682482081,0.53828058004126,"Blautia"
"Otu00062",0.458743707132774,0.342567966313419,0.561293316900723,"Bacteroides"
"Otu00141",0.455990550777581,0.333317592874718,0.659558935486371,"Clostridium_XlVa"
"Otu00003",0.435401069167818,0.366742365576537,0.512131694541911,"Anaerostipes"
"propionate",0.43376040445004,0.376134681966697,0.509967089741872,NA
"Otu00148",0.423816996473869,0.314540619221553,0.573045716266039,"Lachnospiraceae"
"Otu00027",0.419255767327202,0.344791111359651,0.485712330411488,"Ruminococcus2"
"Otu00001",0.411893544642221,0.356401486940429,0.488274002610276,"Blautia"
"isobutyrate",0.408642042896082,0.344424592307606,0.487283547021041,NA
"Otu00094",0.400574201344087,0.322575577943524,0.554521206092255,"Pasteurellaceae"
"Otu00013",0.399855409831226,0.340853299873607,0.4656261646168,"Faecalibacterium"
"Otu00020",0.394588449925711,0.318863806106227,0.450684928953164,"Enterobacteriaceae"
"Otu00132",0.392506044803676,0.319259093698808,0.504524363212757,"Firmicutes"
"Otu00041",0.391286113604468,0.333776405990116,0.469670349592348,"Clostridium_XI"
"Otu00231",0.38569214634996,0.323373961948403,0.489034403065382,"Lachnospiraceae"
"Otu00025",0.384528282059177,0.353661816628948,0.469845460408868,"Dorea"
"Otu00393",0.384431162231263,0.305914243742342,0.449055468854157,"Clostridiales"
"Otu00133",0.381629615304418,0.312912329885301,0.46296206896864,"Clostridium_XlVa"
"Otu00142",0.370590588650487,0.302888300498485,0.499217169033056,"Enterobacteriaceae"
"Otu00009",0.362191258552857,0.322488416137955,0.424533267138562,"Blautia"
"Otu00216",0.362045967239831,0.232679229446929,0.493015880576369,"Lactobacillus"
"Otu00113",0.358381013784226,0.300604928431324,0.455724678335038,"Bacteroides"
"Otu00015",0.354743128171354,0.318682638925783,0.407427648656856,"Clostridiales"
"Otu00396",0.354399113850143,0.283185927802365,0.427745524238649,"Blautia"
"Otu00072",0.354243472098833,0.299959425477427,0.439250442607089,"Lachnospiraceae"
"Otu00107",0.344218075248197,0.286426727849978,0.414881159920274,"Roseburia"
"Otu00021",0.342172335043807,0.295785937495499,0.388952521892077,"Ruminococcus"
"Otu00613",0.340949393872369,0.244889603795532,0.481989798139266,"Coprobacillus"
"Otu00188",0.328362520037354,0.253768234260093,0.390879601955922,"Lachnospiraceae"
"Otu00075",0.325292807741811,0.261869103410761,0.389744321249958,"Clostridium_XI"
"Otu00116",0.323166898753923,0.258664305079323,0.423770924229349,"Enterococcus"
"Otu00038",0.322595030407935,0.277937718002871,0.37904970814714,"Bacteroides"
