ID#	11
Name	butyrate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
1	2017-07-24_000.lcd	BLANK	No injection	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
2	2017-07-24_001.lcd	STD-0111	40 mM Mix	23.029	322240	1.462	21.908	24.758	10066	-----	47.35813	12873.982	1.158	0.472
3	2017-07-24_002.lcd	STD-0112	20 mM Mix	23.054	157241	1.463	22.025	24.525	4919	-----	23.10896	12927.051	1.159	0.471
4	2017-07-24_003.lcd	STD-0113	10 mM Mix	23.070	78467	1.464	22.158	24.308	2453	-----	11.53190	12908.854	1.164	0.472
5	2017-07-24_004.lcd	STD-0114	5 mM Mix	23.081	37523	1.464	22.158	24.658	1190	-----	5.51458	12951.482	1.123	0.471
6	2017-07-24_005.lcd	STD-0115	2.5 mM Mix	23.060	19289	1.464	22.225	24.158	615	-----	2.83474	13133.664	1.111	0.469
7	2017-07-24_006.lcd	STD-0116	1 mM Mix	23.065	6971	1.465	22.258	24.125	222	-----	1.02456	13092.165	1.128	0.470
8	2017-07-24_007.lcd	STD-0117	0.5 mM Mix	23.072	3634	1.464	22.308	24.008	112	-----	0.53404	13087.220	1.177	0.479
9	2017-07-24_008.lcd	STD-0118	0.25 mM Mix	23.078	1693	1.466	22.242	23.758	55	-----	0.24882	14162.376	1.061	0.461
10	2017-07-24_009.lcd	STD-0119	0.1 mM Mix	23.035	465	1.463	22.608	23.475	18	-----	0.06834	16589.771	0.757	0.413
11	2017-07-24_019.lcd	P7-A01		22.933	13457	1.464	22.142	23.875	443	-----	1.97774	13432.912	1.065	0.461
12	2017-07-24_020.lcd	P7-A02		22.934	16879	1.464	22.092	23.875	548	-----	2.48061	13262.268	1.084	0.463
13	2017-07-24_021.lcd	P7-A03		22.929	31744	1.463	22.058	23.842	1033	-----	4.66534	13373.768	1.087	0.462
14	2017-07-24_022.lcd	P7-A04		22.930	15941	1.463	22.108	23.825	529	-----	2.34278	13632.952	1.050	0.457
15	2017-07-24_023.lcd	P7-A05		22.919	3286	1.463	22.175	23.758	109	-----	0.48295	13556.524	1.053	0.459
16	2017-07-24_024.lcd	P7-A06		22.907	18110	1.463	22.042	23.958	592	-----	2.66150	13371.323	1.081	0.460
17	2017-07-24_025.lcd	P7-A07		22.904	39669	1.463	22.042	23.875	1297	-----	5.83001	13355.749	1.078	0.461
18	2017-07-24_026.lcd	P7-A08		22.899	65650	1.463	22.042	23.908	2148	-----	9.64831	13396.261	1.078	0.461
19	2017-07-24_027.lcd	P7-A09		22.911	874	1.464	22.425	23.508	32	-----	0.12847	13963.933	0.897	0.432
20	2017-07-24_028.lcd	P7-A10		22.908	4899	1.464	22.108	23.842	161	-----	0.71997	13929.989	1.062	0.460
21	2017-07-24_029.lcd	P7-A11		22.899	8056	1.463	22.058	23.725	266	-----	1.18394	13607.324	1.084	0.456
22	2017-07-24_030.lcd	P7-A12		22.900	14068	1.463	22.075	23.792	462	-----	2.06748	13464.211	1.072	0.460
23	2017-07-24_031.lcd	P7-B01		22.903	14508	1.464	22.075	23.875	466	-----	2.13218	13086.541	1.106	0.467
24	2017-07-24_032.lcd	P7-B02		22.899	25008	1.463	22.008	23.942	811	-----	3.67533	13276.169	1.093	0.463
25	2017-07-24_033.lcd	P7-B03		22.890	5436	1.464	22.025	23.708	180	-----	0.79892	13542.041	1.040	0.462
26	2017-07-24_034.lcd	P7-B04		22.903	11534	1.464	22.075	23.775	377	-----	1.69512	13408.030	1.076	0.462
27	2017-07-24_035.lcd	P7-B05		22.907	12138	1.464	22.075	23.792	394	-----	1.78384	13340.558	1.078	0.463
28	2017-07-24_036.lcd	P7-B06		22.901	4576	1.464	22.142	23.742	150	-----	0.67248	13258.138	1.072	0.460
29	2017-07-24_037.lcd	P7-B07		22.885	33442	1.463	21.958	23.842	1085	-----	4.91484	13193.964	1.093	0.463
30	2017-07-24_038.lcd	P7-B08		22.891	10277	1.464	22.058	23.858	335	-----	1.51033	13508.332	1.078	0.461
31	2017-07-24_039.lcd	P7-B09		22.889	10308	1.464	22.058	23.758	340	-----	1.51495	13563.614	1.057	0.458
32	2017-07-24_040.lcd	P7-B10		22.885	9111	1.464	22.025	23.725	301	-----	1.33902	13454.942	1.059	0.459
