ID#	11
Name	butyrate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
1	2017-07-07_000.lcd	BLANK	No injection	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
2	2017-07-07_001.lcd	STD-0111	40 mM Mix	22.851	321040	1.461	21.692	24.708	10230	-----	47.18184	13340.858	1.143	0.460
3	2017-07-07_002.lcd	STD-0112	20 mM Mix	22.872	158029	1.462	21.675	24.692	5048	-----	23.22475	13476.851	1.138	0.458
4	2017-07-07_003.lcd	STD-0113	10 mM Mix	22.884	79907	1.463	21.608	24.225	2548	-----	11.74362	13544.639	1.133	0.457
5	2017-07-07_004.lcd	STD-0114	5 mM Mix	22.894	37674	1.463	22.042	23.925	1252	-----	5.53680	13837.846	1.063	0.453
6	2017-07-07_005.lcd	STD-0115	2.5 mM Mix	22.896	19098	1.464	22.125	23.975	639	-----	2.80679	13940.272	1.046	0.452
7	2017-07-07_006.lcd	STD-0116	1 mM Mix	22.894	6943	1.464	22.158	23.708	235	-----	1.02039	14520.448	1.021	0.449
8	2017-07-07_007.lcd	STD-0117	0.5 mM Mix	22.897	3550	1.463	22.125	23.542	121	-----	0.52169	14582.979	1.007	0.447
9	2017-07-07_008.lcd	STD-0118	0.25 mM Mix	22.910	1765	1.464	22.192	23.542	62	-----	0.25933	14847.836	0.968	0.441
10	2017-07-07_009.lcd	STD-0119	0.1 mM Mix	22.933	602	1.464	22.458	23.392	23	-----	0.08847	17720.286	0.797	0.423
11	2017-07-07_010.lcd	BLANK	Water	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
12	2017-07-07_011.lcd	P4-A01		22.878	120583	1.463	21.658	24.292	3795	-----	17.72155	13387.916	1.160	0.460
13	2017-07-07_012.lcd	P4-A02		22.886	13527	1.463	22.075	23.908	449	-----	1.98795	13728.367	1.056	0.453
14	2017-07-07_013.lcd	P4-A03		22.884	11933	1.463	22.075	24.108	388	-----	1.75377	13856.143	1.082	0.454
15	2017-07-07_014.lcd	P4-A04		22.899	11444	1.463	22.075	23.692	384	-----	1.68181	13888.315	1.039	0.452
16	2017-07-07_015.lcd	P4-A05		22.895	3292	1.464	22.125	23.458	115	-----	0.48381	14203.883	0.987	0.443
17	2017-07-07_016.lcd	P4-A06		22.893	16443	1.464	22.042	23.925	545	-----	2.41650	13783.202	1.063	0.454
18	2017-07-07_017.lcd	P4-A07		22.899	10334	1.464	22.092	24.142	337	-----	1.51879	13910.683	1.075	0.454
19	2017-07-07_018.lcd	P4-A08		22.895	1853	1.464	22.192	23.425	67	-----	0.27228	15096.465	0.914	0.435
20	2017-07-07_019.lcd	P4-A09		22.894	33632	1.464	22.158	23.758	1126	-----	4.94272	13863.752	1.045	0.453
21	2017-07-07_020.lcd	P4-A10		22.894	15353	1.464	22.008	23.792	506	-----	2.25635	13696.248	1.075	0.456
22	2017-07-07_021.lcd	P4-A11		22.899	10366	1.464	22.075	23.825	346	-----	1.52338	14037.770	1.042	0.453
23	2017-07-07_022.lcd	P4-A12		22.907	5106	1.464	21.975	23.642	177	-----	0.75040	14309.342	0.980	0.446
24	2017-07-07_023.lcd	P4-B01		22.902	7419	1.464	22.108	23.675	250	-----	1.09034	13715.313	1.039	0.452
25	2017-07-07_024.lcd	P4-B02		22.900	6650	1.464	22.108	23.625	227	-----	0.97730	14159.063	0.996	0.449
26	2017-07-07_025.lcd	P4-B03		22.898	1865	1.464	22.142	23.458	66	-----	0.27414	15171.711	0.919	0.439
27	2017-07-07_026.lcd	P4-B04		22.896	10814	1.464	22.008	23.742	360	-----	1.58931	13791.436	1.056	0.453
28	2017-07-07_027.lcd	P4-B05		22.897	24352	1.464	22.042	23.892	798	-----	3.57888	13437.331	1.071	0.460
29	2017-07-07_028.lcd	P4-B06		22.898	5570	1.464	22.125	23.625	187	-----	0.81862	13639.079	1.021	0.456
30	2017-07-07_029.lcd	P4-B07		22.898	15598	1.464	22.025	23.842	512	-----	2.29238	13528.219	1.078	0.458
31	2017-07-07_030.lcd	P4-B08		22.893	9420	1.464	22.042	23.725	312	-----	1.38446	13660.055	1.058	0.457
32	2017-07-07_031.lcd	P4-B09		22.882	14956	1.463	22.175	23.675	505	-----	2.19798	13939.845	1.022	0.453
33	2017-07-07_032.lcd	P4-B10		-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
34	2017-07-07_033.lcd	P4-B11		22.893	16158	1.464	22.042	23.892	532	-----	2.37467	13591.878	1.066	0.458
35	2017-07-07_034.lcd	P4-B12		22.900	3290	1.464	22.042	23.508	113	-----	0.48358	14231.380	0.999	0.445
36	2017-07-07_035.lcd	P4-C01		22.895	4397	1.464	22.042	23.642	149	-----	0.64615	14095.346	1.006	0.454
37	2017-07-07_036.lcd	P4-C02		22.901	458	1.465	22.458	23.442	17	-----	0.06724	17271.598	0.806	0.434
38	2017-07-07_037.lcd	P4-C03		22.892	12867	1.464	22.058	23.908	422	-----	1.89105	13541.758	1.071	0.459
39	2017-07-07_038.lcd	P4-C04		22.890	13238	1.463	22.058	23.892	433	-----	1.94546	13381.593	1.070	0.461
40	2017-07-07_039.lcd	P4-C05		22.888	6886	1.463	22.125	23.742	228	-----	1.01205	13523.451	1.030	0.461
41	2017-07-07_040.lcd	P4-C06		22.893	8674	1.463	22.008	24.058	283	-----	1.27473	13621.085	1.079	0.460
42	2017-07-07_041.lcd	P4-C07		22.895	11757	1.464	21.992	24.108	378	-----	1.72784	13260.500	1.089	0.463
43	2017-07-07_042.lcd	P4-C08		22.889	3483	1.463	22.325	23.342	134	-----	0.51190	17236.988	0.817	0.410
44	2017-07-07_043.lcd	P4-C09		22.901	4804	1.463	22.092	23.658	157	-----	0.70604	13248.318	1.068	0.464
45	2017-07-07_044.lcd	P4-C10		22.897	8694	1.463	22.058	23.742	286	-----	1.27777	13329.202	1.057	0.464
46	2017-07-07_045.lcd	P4-C11		22.898	5088	1.464	22.125	23.758	172	-----	0.74782	13820.979	1.012	0.454
47	2017-07-07_046.lcd	P4-C12		22.884	24126	1.463	21.975	23.908	776	-----	3.54569	12914.944	1.091	0.470
48	2017-07-07_047.lcd	P4-D01		22.886	5360	1.463	22.075	23.908	172	-----	0.78780	13016.590	1.083	0.471
49	2017-07-07_048.lcd	P4-D02		22.891	9222	1.464	22.058	23.692	302	-----	1.35533	13230.538	1.053	0.467
50	2017-07-07_049.lcd	P4-D03		22.883	19566	1.464	22.108	23.975	638	-----	2.87555	12951.627	1.059	0.467
