ID#	7
Name	acetate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
1	2017-07-07_000.lcd	BLANK	No injection	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
2	2017-07-07_001.lcd	STD-0111	40 mM Mix	15.643	155000	1.000	14.958	16.900	7555	-----	52.36608	14677.415	0.750	0.298
3	2017-07-07_002.lcd	STD-0112	20 mM Mix	15.645	76398	1.000	14.975	16.758	3738	-----	25.81067	14741.203	0.748	0.297
4	2017-07-07_003.lcd	STD-0113	10 mM Mix	15.645	38175	1.000	14.942	16.550	1877	-----	12.89720	14777.434	0.744	0.297
5	2017-07-07_004.lcd	STD-0114	5 mM Mix	15.647	18663	1.000	15.025	16.375	937	-----	6.30524	14914.948	0.719	0.295
6	2017-07-07_005.lcd	STD-0115	2.5 mM Mix	15.643	9321	1.000	15.075	16.250	471	-----	3.14899	14970.950	0.708	0.295
7	2017-07-07_006.lcd	STD-0116	1 mM Mix	15.643	3318	1.000	15.175	16.167	172	-----	1.12083	15260.891	0.677	0.294
8	2017-07-07_007.lcd	STD-0117	0.5 mM Mix	15.650	1676	1.000	15.258	16.108	90	-----	0.56611	15797.721	0.639	0.286
9	2017-07-07_008.lcd	STD-0118	0.25 mM Mix	15.645	821	1.000	15.300	16.017	45	-----	0.27734	16701.848	0.600	0.280
10	2017-07-07_009.lcd	STD-0119	0.1 mM Mix	15.661	321	1.000	15.375	15.967	18	-----	0.10843	15529.815	0.545	0.284
11	2017-07-07_010.lcd	BLANK	Water	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
12	2017-07-07_011.lcd	P4-A01		15.639	78122	1.000	14.942	16.275	3871	-----	26.39311	14606.353	0.733	0.299
13	2017-07-07_012.lcd	P4-A02		15.641	24683	1.000	15.008	16.383	1176	-----	8.33893	14094.441	0.805	0.304
14	2017-07-07_013.lcd	P4-A03		15.638	43042	1.000	15.092	16.450	1882	-----	14.54161	12879.258	0.976	0.316
15	2017-07-07_014.lcd	P4-A04		15.647	31092	1.000	14.817	16.458	1424	-----	10.50425	13722.328	0.868	0.307
16	2017-07-07_015.lcd	P4-A05		15.639	18060	1.000	14.625	16.450	771	-----	6.10155	12835.716	0.984	0.317
17	2017-07-07_016.lcd	P4-A06		15.641	34908	1.000	14.850	16.292	1671	-----	11.79351	14202.816	0.793	0.303
18	2017-07-07_017.lcd	P4-A07		15.643	28906	1.000	14.958	16.508	1254	-----	9.76577	12974.316	0.998	0.316
19	2017-07-07_018.lcd	P4-A08		15.642	13912	1.000	15.042	16.367	647	-----	4.70018	13555.213	0.835	0.309
20	2017-07-07_019.lcd	P4-A09		15.642	35830	1.000	14.850	16.433	1741	-----	12.10516	14478.728	0.762	0.300
21	2017-07-07_020.lcd	P4-A10		15.639	20494	1.000	15.208	16.158	1076	-----	6.92376	15222.762	0.645	0.294
22	2017-07-07_021.lcd	P4-A11		15.643	16523	1.000	14.850	16.858	658	-----	5.58222	12469.146	1.189	0.322
23	2017-07-07_022.lcd	P4-A12		15.649	17675	1.000	15.158	16.325	872	-----	5.97135	14402.730	0.736	0.301
24	2017-07-07_023.lcd	P4-B01		15.641	16848	1.000	14.925	16.267	720	-----	5.69204	12176.251	0.966	0.325
25	2017-07-07_024.lcd	P4-B02		15.644	23647	1.000	15.017	16.467	1013	-----	7.98896	12843.733	0.990	0.317
26	2017-07-07_025.lcd	P4-B03		15.641	11506	1.000	14.850	16.458	391	-----	3.88727	9385.548	1.302	0.373
27	2017-07-07_026.lcd	P4-B04		15.643	20127	1.000	14.917	16.392	902	-----	6.79974	13354.304	0.910	0.312
28	2017-07-07_027.lcd	P4-B05		15.644	42198	1.000	14.800	16.525	1962	-----	14.25638	13994.402	0.805	0.305
29	2017-07-07_028.lcd	P4-B06		15.643	21884	1.000	14.750	16.383	957	-----	7.39349	12673.237	0.920	0.319
30	2017-07-07_029.lcd	P4-B07		15.643	30337	1.000	14.783	16.183	1489	-----	10.24916	14273.136	0.731	0.303
31	2017-07-07_030.lcd	P4-B08		15.641	18701	1.000	15.008	16.383	896	-----	6.31810	13853.688	0.771	0.306
32	2017-07-07_031.lcd	P4-B09		15.636	29816	1.000	14.900	16.458	1377	-----	10.07318	13537.290	0.832	0.310
33	2017-07-07_032.lcd	P4-B10		15.631	821	1.000	15.058	16.117	37	-----	0.27731	12130.803	0.820	0.324
34	2017-07-07_033.lcd	P4-B11		15.641	30906	1.000	14.983	16.400	1454	-----	10.44139	13769.948	0.814	0.307
35	2017-07-07_034.lcd	P4-B12		15.644	22908	1.000	14.892	16.417	1105	-----	7.73951	14166.674	0.763	0.303
36	2017-07-07_035.lcd	P4-C01		15.637	20941	1.000	14.975	16.342	954	-----	7.07465	13033.537	0.850	0.315
37	2017-07-07_036.lcd	P4-C02		15.636	2944	1.000	15.025	16.592	113	-----	0.99453	10558.362	1.194	0.344
38	2017-07-07_037.lcd	P4-C03		15.641	21196	1.000	14.883	16.392	997	-----	7.16083	14123.223	0.840	0.304
39	2017-07-07_038.lcd	P4-C04		15.641	36680	1.000	14.908	16.600	1632	-----	12.39217	13056.367	0.896	0.315
40	2017-07-07_039.lcd	P4-C05		15.640	17127	1.000	14.958	16.433	747	-----	5.78624	12482.630	0.916	0.322
41	2017-07-07_040.lcd	P4-C06		15.642	26807	1.000	14.900	16.392	1239	-----	9.05659	13538.500	0.835	0.310
42	2017-07-07_041.lcd	P4-C07		15.643	26209	1.000	15.017	16.525	1201	-----	8.85463	13299.562	0.844	0.313
43	2017-07-07_042.lcd	P4-C08		15.644	14890	1.000	15.017	16.450	604	-----	5.03044	11534.289	1.032	0.335
44	2017-07-07_043.lcd	P4-C09		15.651	15728	1.000	14.925	16.392	689	-----	5.31361	12492.782	0.911	0.323
45	2017-07-07_044.lcd	P4-C10		15.647	30537	1.000	14.825	16.475	1269	-----	10.31667	12150.603	1.028	0.326
46	2017-07-07_045.lcd	P4-C11		15.644	12836	1.000	14.875	16.292	587	-----	4.33656	13390.328	0.847	0.312
47	2017-07-07_046.lcd	P4-C12		15.637	48152	1.000	14.800	16.417	2185	-----	16.26808	12987.112	0.847	0.317
48	2017-07-07_047.lcd	P4-D01		15.640	23468	1.000	14.725	16.642	851	-----	7.92852	10444.586	1.217	0.353
49	2017-07-07_048.lcd	P4-D02		15.641	25920	1.000	15.042	16.367	1223	-----	8.75685	13267.811	0.775	0.314
50	2017-07-07_049.lcd	P4-D03		15.634	47664	1.000	14.842	16.483	2207	-----	16.10310	13195.696	0.806	0.314
51	2017-07-07_050.lcd	P4-D04		15.636	57349	1.000	14.917	16.383	2729	-----	19.37515	13516.299	0.765	0.311
52	2017-07-07_051.lcd	P4-D05		15.639	17282	1.000	14.875	16.400	684	-----	5.83854	11007.737	1.103	0.342
53	2017-07-07_052.lcd	P4-D06		15.637	14848	1.000	15.067	16.217	771	-----	5.01634	14535.650	0.651	0.301
54	2017-07-07_053.lcd	P4-D07		15.644	15529	1.000	15.033	16.233	755	-----	5.24650	13779.841	0.730	0.309
55	2017-07-07_054.lcd	P4-D08		15.640	53552	1.000	14.958	16.342	2538	-----	18.09215	13342.667	0.765	0.313
56	2017-07-07_055.lcd	P4-D09		15.635	25499	1.000	14.975	16.367	1172	-----	8.61461	12732.775	0.802	0.320
57	2017-07-07_056.lcd	P4-D10		15.637	24929	1.000	14.808	16.492	1003	-----	8.42197	11264.641	1.016	0.338
58	2017-07-07_057.lcd	P4-D11		15.633	14340	1.000	14.942	16.375	619	-----	4.84485	11968.975	0.922	0.328
