ID#	8
Name	propionate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
1	2017-07-07_000.lcd	BLANK	No injection	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
2	2017-07-07_001.lcd	STD-0111	40 mM Mix	18.495	225548	1.182	17.625	19.075	9701	-----	55.15893	15105.123	0.825	0.349
3	2017-07-07_002.lcd	STD-0112	20 mM Mix	18.503	107755	1.183	17.692	19.042	4734	-----	26.35222	15549.924	0.793	0.345
4	2017-07-07_003.lcd	STD-0113	10 mM Mix	18.506	51731	1.183	17.758	19.008	2352	-----	12.65103	16141.718	0.734	0.339
5	2017-07-07_004.lcd	STD-0114	5 mM Mix	18.512	23844	1.183	18.092	18.967	1147	-----	5.83111	17331.037	0.663	0.329
6	2017-07-07_005.lcd	STD-0115	2.5 mM Mix	18.512	11737	1.183	18.158	18.925	587	-----	2.87032	18415.070	0.622	0.321
7	2017-07-07_006.lcd	STD-0116	1 mM Mix	18.507	4439	1.183	18.192	18.875	227	-----	1.08570	19218.509	0.584	0.316
8	2017-07-07_007.lcd	STD-0117	0.5 mM Mix	18.520	2150	1.183	18.317	18.850	124	-----	0.52583	24680.251	0.492	0.287
9	2017-07-07_008.lcd	STD-0118	0.25 mM Mix	18.531	1095	1.184	18.367	18.825	69	-----	0.26781	30678.824	0.434	0.264
10	2017-07-07_009.lcd	STD-0119	0.1 mM Mix	18.568	342	1.186	18.442	18.775	28	-----	0.08365	48015.138	0.319	0.204
11	2017-07-07_010.lcd	BLANK	Water	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
12	2017-07-07_011.lcd	P4-A01		18.505	22828	1.183	18.075	18.958	1087	-----	5.58266	16910.051	0.668	0.333
13	2017-07-07_012.lcd	P4-A02		18.504	15703	1.183	18.100	18.942	760	-----	3.84038	17428.489	0.652	0.329
14	2017-07-07_013.lcd	P4-A03		18.503	8226	1.183	18.150	18.900	410	-----	2.01182	18280.193	0.619	0.322
15	2017-07-07_014.lcd	P4-A04		18.510	11616	1.183	18.133	18.925	574	-----	2.84077	18024.162	0.631	0.324
