ID#	10
Name	isobutyrate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
1	2017-06-20_000.lcd	BLANK	No injection	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
2	2017-06-20_001.lcd	STD-0111	40 mM Mix	20.807	307676	1.333	19.833	21.692	10472	-----	41.13552	11993.473	1.023	0.443
3	2017-06-20_002.lcd	STD-0112	20 mM Mix	20.824	148426	1.334	19.933	21.675	5093	-----	19.84412	12097.308	1.007	0.442
4	2017-06-20_003.lcd	STD-0113	10 mM Mix	20.829	72824	1.335	19.950	21.575	2546	-----	9.73638	12368.698	0.979	0.437
5	2017-06-20_004.lcd	STD-0114	5 mM Mix	20.831	35569	1.335	20.025	21.542	1253	-----	4.75552	12428.228	0.966	0.435
6	2017-06-20_005.lcd	STD-0115	2.5 mM Mix	20.835	18022	1.335	20.092	21.475	644	-----	2.40953	12637.417	0.937	0.433
7	2017-06-20_006.lcd	STD-0116	1 mM Mix	20.833	6276	1.335	20.125	21.475	228	-----	0.83906	12877.335	0.918	0.429
8	2017-06-20_007.lcd	STD-0117	0.5 mM Mix	20.839	3291	1.335	20.208	21.458	119	-----	0.43996	12981.772	0.910	0.431
9	2017-06-20_008.lcd	STD-0118	0.25 mM Mix	20.839	1716	1.334	20.225	21.492	61	-----	0.22943	13291.510	0.972	0.428
10	2017-06-20_009.lcd	STD-0119	0.1 mM Mix	20.843	660	1.334	20.308	21.392	24	-----	0.08831	14668.034	0.968	0.428
11	2017-06-20_010.lcd	BLANK	Water	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
12	2017-06-20_011.lcd	P2-A01		21.256	4808	1.362	20.292	21.925	103	-----	0.64277	3862.868	0.000	0.827
13	2017-06-20_012.lcd	P2-A02		20.763	135	1.331	20.425	21.242	11	-----	0.01802	39589.448	0.500	0.228
14	2017-06-20_013.lcd	P2-A03		20.807	942	1.333	20.425	21.392	30	-----	0.12590	14637.084	0.931	0.428
15	2017-06-20_014.lcd	P2-A04		20.818	1427	1.334	20.375	21.458	37	-----	0.19079	8639.310	1.044	0.754
16	2017-06-20_015.lcd	P2-A05		20.804	1227	1.333	20.342	21.492	23	-----	0.16398	2595.818	0.000	0.000
17	2017-06-20_016.lcd	P2-A06		21.290	2998	1.364	20.308	21.842	80	-----	0.40077	12256.858	1.279	0.486
18	2017-06-20_017.lcd	P2-A07		21.312	3039	1.364	20.325	21.792	81	-----	0.40629	11822.136	1.275	0.473
19	2017-06-20_018.lcd	P2-A08		21.309	4806	1.365	20.608	21.842	156	-----	0.64250	14096.423	1.090	0.424
20	2017-06-20_019.lcd	P2-A09		21.281	1627	1.363	20.425	21.475	51	-----	0.21754	29568.297	0.996	0.304
21	2017-06-20_020.lcd	P2-A10		20.834	963	1.335	20.458	21.425	32	-----	0.12873	15346.889	0.921	0.387
22	2017-06-20_021.lcd	P2-A11		21.282	859	1.363	20.458	21.475	25	-----	0.11481	30417.428	0.974	0.306
23	2017-06-20_022.lcd	P2-A12		20.830	1794	1.334	20.425	21.475	55	-----	0.23982	12623.932	1.003	0.430
24	2017-06-20_023.lcd	P2-B01		20.818	290	1.333	20.458	21.475	9	-----	0.03874	12458.057	0.958	0.428
25	2017-06-20_024.lcd	P2-B02		21.274	2352	1.363	20.342	21.792	66	-----	0.31446	12319.552	1.262	0.481
26	2017-06-20_025.lcd	P2-B03		21.240	3370	1.361	20.325	21.858	62	-----	0.45055	4032.116	1.427	0.956
27	2017-06-20_026.lcd	P2-B04		20.815	6881	1.333	20.358	21.575	151	-----	0.91994	4953.209	1.165	0.840
28	2017-06-20_027.lcd	P2-B05		21.238	449	1.361	20.408	21.458	13	-----	0.06007	20260.381	0.985	0.354
29	2017-06-20_028.lcd	P2-B06		21.278	5450	1.363	20.308	21.942	150	-----	0.72862	11314.341	0.000	0.475
30	2017-06-20_029.lcd	P2-B07		21.228	2236	1.360	20.475	21.508	55	-----	0.29898	6895.688	0.994	0.743
31	2017-06-20_030.lcd	P2-B08		21.271	3395	1.363	20.342	21.992	79	-----	0.45392	924.580	0.000	0.738
32	2017-06-20_031.lcd	P2-B09		20.827	1477	1.334	20.375	21.475	34	-----	0.19748	5778.552	1.071	0.827
33	2017-06-20_032.lcd	P2-B10		20.820	1841	1.334	20.342	21.475	51	-----	0.24611	7622.024	1.078	0.542
34	2017-06-20_033.lcd	P2-B11		21.247	402	1.361	20.375	21.458	15	-----	0.05368	42248.715	0.920	0.276
35	2017-06-20_034.lcd	P2-B12		20.846	3211	1.335	20.442	21.492	88	-----	0.42930	10612.750	1.007	0.733
36	2017-06-20_035.lcd	P2-C01		20.825	2049	1.334	20.475	21.442	62	-----	0.27389	16004.251	0.921	0.424
37	2017-06-20_036.lcd	P2-F01		21.294	7806	1.365	20.325	21.925	184	-----	1.04367	9493.796	0.000	0.747
38	2017-06-20_037.lcd	P2-F02		20.820	4342	1.335	20.508	21.475	118	-----	0.58054	7330.045	0.946	0.736
39	2017-06-20_038.lcd	P2-F03		21.279	7311	1.364	20.325	21.892	180	-----	0.97750	9593.492	0.000	0.695
40	2017-06-20_039.lcd	P2-F04		21.280	7220	1.364	20.342	21.875	178	-----	0.96534	9661.340	0.000	0.699
41	2017-06-20_040.lcd	P2-F05		21.287	7855	1.364	20.492	21.992	225	-----	1.05025	11731.119	0.000	0.460
42	2017-06-20_041.lcd	P2-F06		21.277	12091	1.364	20.492	21.975	229	-----	1.61655	4373.945	0.000	0.907
43	2017-06-20_042.lcd	P2-F07		21.274	2165	1.364	20.775	21.858	75	-----	0.28945	14463.408	0.000	0.425
44	2017-06-20_043.lcd	P2-F08		21.263	12567	1.362	20.292	21.975	258	-----	1.68016	714.219	0.000	0.816
45	2017-06-20_044.lcd	P2-F09		21.258	5582	1.362	20.308	22.092	143	-----	0.74633	9076.348	1.440	0.527
