ID#	7
Name	acetate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
1	2017-07-12_000.lcd	BLANK	No injection	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
2	2017-07-12_001.lcd	STD-0111	40 mM Mix	15.633	149756	1.000	14.975	16.575	6788	-----	50.59428	12096.518	0.787	0.329
3	2017-07-12_002.lcd	STD-0112	20 mM Mix	15.635	73812	1.000	15.000	16.533	3353	-----	24.93706	12177.540	0.788	0.328
4	2017-07-12_003.lcd	STD-0113	10 mM Mix	15.628	36959	1.000	14.967	16.500	1692	-----	12.48632	12343.658	0.783	0.325
5	2017-07-12_004.lcd	STD-0114	5 mM Mix	15.635	18899	1.000	15.000	16.442	852	-----	6.38506	12192.412	0.805	0.327
6	2017-07-12_005.lcd	STD-0115	2.5 mM Mix	15.636	9353	1.000	15.042	16.350	427	-----	3.15998	12368.883	0.786	0.325
7	2017-07-12_006.lcd	STD-0116	1 mM Mix	15.635	3276	1.000	15.175	16.233	153	-----	1.10682	12724.024	0.749	0.322
8	2017-07-12_007.lcd	STD-0117	0.5 mM Mix	15.634	1596	1.000	15.275	16.175	79	-----	0.53934	12921.495	0.688	0.313
9	2017-07-12_008.lcd	STD-0118	0.25 mM Mix	15.652	750	1.000	15.308	16.067	38	-----	0.25346	14861.093	0.628	0.307
10	2017-07-12_009.lcd	STD-0119	0.1 mM Mix	15.646	241	1.000	15.425	16.000	14	-----	0.08128	15359.535	0.531	0.279
11	2017-07-12_010.lcd	BLANK	Water	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
12	2017-07-12_011.lcd	P5-A01		15.636	36660	1.000	14.800	16.358	1618	-----	12.38539	11934.214	0.814	0.330
13	2017-07-12_012.lcd	P5-A02		15.635	44063	1.000	14.900	16.500	1777	-----	14.88640	10676.924	0.968	0.349
14	2017-07-12_013.lcd	P5-A03		15.637	6460	1.000	15.050	16.592	263	-----	2.18233	10728.484	0.972	0.348
15	2017-07-12_014.lcd	P5-A04		15.634	27398	1.000	14.983	16.308	1164	-----	9.25636	11072.035	0.880	0.342
16	2017-07-12_015.lcd	P5-A05		15.632	17951	1.000	14.858	16.458	723	-----	6.06472	10627.394	0.994	0.349
17	2017-07-12_016.lcd	P5-A06		15.634	13807	1.000	15.050	16.600	535	-----	4.66462	10386.620	0.000	0.352
18	2017-07-12_017.lcd	P5-A07		15.640	14997	1.000	15.008	16.408	661	-----	5.06668	11705.353	0.834	0.333
19	2017-07-12_018.lcd	P5-A08		15.640	20963	1.000	15.033	16.217	964	-----	7.08209	12196.924	0.772	0.327
20	2017-07-12_019.lcd	P5-A09		15.637	27112	1.000	14.958	16.908	1014	-----	9.15963	10237.324	1.131	0.356
21	2017-07-12_020.lcd	P5-A10		15.964	9070	1.000	15.092	16.908	247	-----	3.06432	4148.291	1.248	0.604
22	2017-07-12_021.lcd	P5-A11		15.631	14376	1.000	14.983	16.358	618	-----	4.85678	11322.153	0.866	0.339
23	2017-07-12_022.lcd	P5-A12		15.626	17600	1.000	14.983	16.375	771	-----	5.94598	11559.927	0.848	0.336
24	2017-07-12_023.lcd	P5-B01		15.640	37864	1.000	14.908	16.575	1570	-----	12.79201	11250.490	0.936	0.340
25	2017-07-12_024.lcd	P5-B02		15.635	12198	1.000	14.933	16.875	485	-----	4.12113	10635.451	1.011	0.349
26	2017-07-12_025.lcd	P5-B03		15.633	25566	1.000	14.967	16.458	1118	-----	8.63728	11633.791	0.849	0.334
27	2017-07-12_026.lcd	P5-B04		15.633	35504	1.000	14.775	16.400	1528	-----	11.99502	11319.768	0.856	0.339
28	2017-07-12_027.lcd	P5-B05		15.632	19993	1.000	14.908	16.500	809	-----	6.75462	10554.919	0.978	0.349
29	2017-07-12_028.lcd	P5-B06		15.634	25549	1.000	15.000	16.375	1100	-----	8.63155	11195.778	0.862	0.341
30	2017-07-12_029.lcd	P5-B07		15.630	14198	1.000	14.925	16.408	616	-----	4.79681	11449.134	0.852	0.336
31	2017-07-12_030.lcd	P5-B08		15.625	10326	1.000	14.967	16.333	421	-----	3.48849	10384.043	0.940	0.352
32	2017-07-12_031.lcd	P5-B09		15.630	16592	1.000	14.992	16.392	723	-----	5.60552	11425.323	0.847	0.337
33	2017-07-12_032.lcd	P5-B10		15.635	14889	1.000	15.108	16.342	652	-----	5.03018	11427.106	0.839	0.337
34	2017-07-12_033.lcd	P5-B11		15.621	10323	1.000	14.858	16.525	354	-----	3.48749	8680.058	1.242	0.388
35	2017-07-12_034.lcd	P5-B12		15.627	37043	1.000	14.908	16.500	1602	-----	12.51480	11438.695	0.856	0.337
36	2017-07-12_035.lcd	P5-C01		15.626	30938	1.000	14.875	16.500	1271	-----	10.45241	10737.154	0.950	0.347
37	2017-07-12_036.lcd	P5-C02		15.633	18704	1.000	14.967	16.400	800	-----	6.31907	11049.624	0.867	0.343
38	2017-07-12_037.lcd	P5-C03		15.638	37996	1.000	14.908	16.492	1629	-----	12.83669	11171.945	0.864	0.341
39	2017-07-12_038.lcd	P5-C04		15.636	18568	1.000	14.950	16.650	746	-----	6.27308	10441.106	0.968	0.353
40	2017-07-12_039.lcd	P5-C05		15.637	24298	1.000	15.225	16.208	1171	-----	8.20890	12774.589	0.697	0.321
41	2017-07-12_040.lcd	P5-C06		15.627	15675	1.000	14.892	16.450	577	-----	5.29556	9339.284	1.149	0.370
42	2017-07-12_041.lcd	P5-C07		15.626	9614	1.000	14.967	16.500	373	-----	3.24818	10098.877	0.000	0.358
43	2017-07-12_042.lcd	P5-C08		15.629	31159	1.000	14.958	16.183	1422	-----	10.52683	11834.260	0.765	0.332
44	2017-07-12_043.lcd	P5-C09		15.628	9292	1.000	15.017	16.367	385	-----	3.13928	10547.260	0.909	0.350
45	2017-07-12_044.lcd	P5-C10		15.633	28533	1.000	14.725	16.225	1237	-----	9.63986	11208.368	0.830	0.341
46	2017-07-12_045.lcd	P5-C11		15.633	26961	1.000	15.025	16.600	1101	-----	9.10867	10435.751	0.927	0.353
