ID#	7
Name	acetate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
48	2017-06-12_047.lcd	P1-B55		15.633	49309	1.000	14.858	16.800	1653	-----	16.65875	8518.676	1.201	0.394
49	2017-06-12_048.lcd	P1-B56		15.630	38769	1.000	14.942	16.283	1615	-----	13.09799	11466.564	0.994	0.337
50	2017-06-12_049.lcd	P1-B57		15.632	182449	1.000	14.917	16.983	8238	-----	61.63941	12111.852	0.787	0.329
51	2017-06-12_050.lcd	P1-B58		15.631	24665	1.000	14.792	16.717	971	-----	8.33285	10645.654	1.099	0.349
52	2017-06-12_051.lcd	P1-B60		15.633	45458	1.000	14.908	16.517	1946	-----	15.35784	11556.339	0.894	0.336
53	2017-06-12_052.lcd	P1-B62		15.631	75082	1.000	14.950	16.600	3156	-----	25.36605	11288.838	0.916	0.340
54	2017-06-12_053.lcd	P1-B63		15.636	140593	1.000	14.950	16.600	6216	-----	47.49874	11825.875	0.819	0.333
55	2017-06-12_054.lcd	P1-B66		15.632	147454	1.000	14.808	16.250	6782	-----	49.81653	12254.549	0.767	0.327
56	2017-06-12_055.lcd	P1-B67		-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
57	2017-06-12_056.lcd	P1-B67		15.595	148289	1.000	14.925	16.192	7141	-----	50.09870	13184.078	0.724	0.314
58	2017-06-12_057.lcd	P1-B68		15.596	63751	1.000	14.975	16.358	2928	-----	21.53804	12651.474	0.791	0.321
59	2017-06-12_058.lcd	P1-B69		15.597	43331	1.000	14.808	16.283	1901	-----	14.63911	12140.259	0.886	0.327
60	2017-06-12_059.lcd	P1-B71		15.601	97792	1.000	14.783	16.525	4370	-----	33.03847	12454.829	0.819	0.323
61	2017-06-12_060.lcd	P1-B74		15.602	137743	1.000	14.775	16.217	6501	-----	46.53592	13027.127	0.745	0.316
62	2017-06-12_061.lcd	P1-B76		15.597	61463	1.000	15.133	16.233	3041	-----	20.76499	13732.115	0.695	0.309
63	2017-06-12_062.lcd	P1-B77		15.597	98163	1.000	15.092	16.358	4592	-----	33.16401	12972.894	0.788	0.316
64	2017-06-12_063.lcd	P1-B80		15.599	101899	1.000	14.858	16.400	4770	-----	34.42600	13020.626	0.769	0.316
65	2017-06-12_064.lcd	P1-B81		15.596	34783	1.000	15.192	16.083	1780	-----	11.75117	14158.587	0.647	0.304
66	2017-06-12_065.lcd	P1-B83		15.598	127400	1.000	14.850	16.367	5993	-----	43.04133	13170.342	0.766	0.314
67	2017-06-12_066.lcd	P1-B94	40 mM Mix	15.599	165266	1.000	14.875	16.950	7589	-----	55.83444	13200.088	0.790	0.314
68	2017-06-12_067.lcd	P1-B95	20 mM Mix	15.599	75889	1.000	14.942	16.425	3676	-----	25.63858	13626.214	0.725	0.309
69	2017-06-12_068.lcd	P1-B96	10 mM Mix	15.601	37851	1.000	14.875	16.292	1840	-----	12.78772	13678.630	0.721	0.309
70	2017-06-12_069.lcd	P1-B97	5 mM Mix	15.600	18782	1.000	14.992	16.250	917	-----	6.34540	13765.366	0.720	0.308
71	2017-06-12_070.lcd	P1-B98	2.5 mM Mix	15.600	9417	1.000	15.058	16.300	461	-----	3.18157	13769.131	0.715	0.308
72	2017-06-12_071.lcd	P1-B99	1 mM Mix	15.598	3346	1.000	15.142	16.125	168	-----	1.13041	13895.998	0.697	0.304
73	2017-06-12_072.lcd	P1-B100	0.5 mM Mix	15.607	1682	1.000	15.225	16.083	86	-----	0.56809	14572.788	0.661	0.300
74	2017-06-12_073.lcd	P1-B101	0.25 mM Mix	15.596	785	1.000	15.283	15.992	43	-----	0.26533	15258.727	0.580	0.296
75	2017-06-12_074.lcd	P1-B102	0.1 mM Mix	15.604	281	1.000	15.308	15.908	16	-----	0.09506	18852.443	0.526	0.273

