kegg_ortholog,method,parameter,statistic,p.value,bh
K01128,Kruskal-Wallis rank sum test,2,57.453739727171666,3.3425578770343874e-13,1.7484920254766881e-9
K08589,Kruskal-Wallis rank sum test,2,26.973945422013337,1.388935806327944e-6,0.0036327616014507377
K00785,Kruskal-Wallis rank sum test,2,21.353976541558424,2.3069751191377855e-5,0.04022595616069919
K05789,Kruskal-Wallis rank sum test,2,20.024545613328097,4.4846150366597846e-5,0.046918042513534666
K12107,Kruskal-Wallis rank sum test,2,20.024545613328097,4.4846150366597846e-5,0.046918042513534666
K12145,Kruskal-Wallis rank sum test,2,18.458068448434563,9.814797940915588e-5,0.06823754806620604
K12144,Kruskal-Wallis rank sum test,2,18.15202545619962,1.143767506678896e-4,0.06823754806620604
K12142,Kruskal-Wallis rank sum test,2,18.15202545619962,1.143767506678896e-4,0.06823754806620604
K12999,Kruskal-Wallis rank sum test,2,18.09978694702627,1.1740354283996452e-4,0.06823754806620604
K02506,Kruskal-Wallis rank sum test,2,17.658453612500765,1.4639138464083869e-4,0.07003830182276329
K07268,Kruskal-Wallis rank sum test,2,17.646350976501434,1.472799311891409e-4,0.07003830182276329
K09900,Kruskal-Wallis rank sum test,2,16.058849559265088,3.2573552474957274e-4,0.13429805909639506
K01460,Kruskal-Wallis rank sum test,2,16.010204026932975,3.337554517784622e-4,0.13429805909639506
K10672,Kruskal-Wallis rank sum test,2,13.34398170763563,0.0012658760664925545,0.4573296499218666
K01622,Kruskal-Wallis rank sum test,2,13.273316711543915,0.0013114021695331674,0.4573296499218666
K02319,Kruskal-Wallis rank sum test,2,11.172275933402384,0.0037494805570992924,0.7949377225994704
K03231,Kruskal-Wallis rank sum test,2,11.172275933402384,0.0037494805570992924,0.7949377225994704
K07466,Kruskal-Wallis rank sum test,2,11.172275933402384,0.0037494805570992924,0.7949377225994704
K07463,Kruskal-Wallis rank sum test,2,11.172275933402384,0.0037494805570992924,0.7949377225994704
K03124,Kruskal-Wallis rank sum test,2,11.172275933402384,0.0037494805570992924,0.7949377225994704
K01170,Kruskal-Wallis rank sum test,2,11.172275933402384,0.0037494805570992924,0.7949377225994704
K07055,Kruskal-Wallis rank sum test,2,11.172275933402384,0.0037494805570992924,0.7949377225994704
K10725,Kruskal-Wallis rank sum test,2,11.172275933402384,0.0037494805570992924,0.7949377225994704
K03170,Kruskal-Wallis rank sum test,2,11.172275933402384,0.0037494805570992924,0.7949377225994704
K03078,Kruskal-Wallis rank sum test,2,11.14594684450307,0.0037991670932874706,0.7949377225994704
K14084,Kruskal-Wallis rank sum test,2,10.901546675292067,0.004292983480969949,0.8637152534213001
K04109,Kruskal-Wallis rank sum test,2,10.124022921683709,0.006332808496813215,0.9999980855427674
K06036,Kruskal-Wallis rank sum test,2,9.83673792980195,0.007311045699522174,0.9999980855427674
K02430,Kruskal-Wallis rank sum test,2,9.600871629919114,0.008226161183586352,0.9999980855427674
K00534,Kruskal-Wallis rank sum test,2,9.426358479826074,0.008976194694143382,0.9999980855427674
K03851,Kruskal-Wallis rank sum test,2,9.325790507166996,0.009439094230534349,0.9999980855427674
