scfa	dx	estimate	p.value	conf.low	conf.high	method
acetate	cancer	2.9994062816204607	0.5077039599418639	-7.802628954611194	12.891563339961504	Wilcoxon signed rank test
acetate	adenoma	-3.838813786314277	0.3501658423592745	-10.922949436777301	3.698921486123398	Wilcoxon signed rank test
butyrate	cancer	0.31234706818499003	0.9158032536506652	-3.2254648470220597	4.39580106420734	Wilcoxon signed rank test
butyrate	adenoma	-1.75325259236728	0.10149110014026529	-3.6710929648665296	0.38667272749162507	Wilcoxon signed rank test
pooled	cancer	2.177488379446686	0.9158032536506652	-25.013570159895217	30.316735476172177	Wilcoxon signed rank test
pooled	adenoma	-13.249915750413354	0.07737864738737708	-29.126737652668155	1.9540013955339255	Wilcoxon signed rank test
propionate	cancer	-0.39605909001410966	0.853199541568756	-3.391218620187159	2.7520869655204	Wilcoxon signed rank test
propionate	adenoma	-1.6782609504797321	0.05805963973034531	-3.6202389427613504	0.07165737667774996	Wilcoxon signed rank test
rel_acetate	cancer	0.028662126874798965	0.16449612379074094	-0.011716073695269169	0.06762198207650122	Wilcoxon signed rank test
rel_acetate	adenoma	0.015467121553414787	0.3221561306017976	-0.01367244232342929	0.04309896646612488	Wilcoxon signed rank test
rel_butyrate	cancer	-0.006384303226260095	0.6915188431739806	-0.0412716598480337	0.020745667941869633	Wilcoxon signed rank test
rel_butyrate	adenoma	-0.007004514983058636	0.43466408287349634	-0.02550174448498905	0.012586269448630616	Wilcoxon signed rank test
rel_propionate	cancer	-0.019740670439855584	0.20993918180465695	-0.05249234980932678	0.012290791747584087	Wilcoxon signed rank test
rel_propionate	adenoma	-0.011051890399390737	0.36471967814213724	-0.037050217469550374	0.01744516458301619	Wilcoxon signed rank test
total	cancer	1.6557543469367886	0.8325093984603881	-15.518042954205935	20.989628289675302	Wilcoxon signed rank test
total	adenoma	-7.234729490454524	0.15011119208429602	-18.135831206826307	2.9870829182324137	Wilcoxon signed rank test
