scfa	p.value	method	adenoma	cancer	normal	cancer-adenoma	normal-adenoma	normal-cancer
acetate	0.1476366035108496	Kruskal-Wallis rank sum test	49.64322310186354	48.244184696556204	47.19618793722626	0.7409617898784229	0.16571830391321218	0.29380976319214536
butyrate	0.2608774507674418	Kruskal-Wallis rank sum test	12.704650978602137	12.119570948271214	11.064835005978477	0.594824402031046	0.2891772950656454	0.5937400597630469
isobutyrate	0.017921020293877318	Kruskal-Wallis rank sum test	3.130182120570086	3.9071246719029173	3.443381900462222	0.014457691921762673	0.1572369828327078	0.1572369828327078
propionate	0.7173060053282789	Kruskal-Wallis rank sum test	15.15841522044109	15.510204524755649	15.292440804701727	0.8930881550541224	0.7375542574506977	0.7375542574506977
