opf_cluster,Comparison,Z,P.unadj,P.adj
SRR5665184_k101_12618_1,Adenoma - Cancer,-0.41897795393698434,0.6752322443915152,0.6752322443915152
SRR5665184_k101_12618_1,Adenoma - Normal,-3.6733648519591444,2.3937730880274852e-4,7.181319264082456e-4
SRR5665184_k101_12618_1,Cancer - Normal,-3.2543868980221604,0.0011363739949885958,0.0017045609924828938
SRR5665186_k101_81805_1,Adenoma - Cancer,-0.35467006324359585,0.7228367808397671,0.7228367808397671
SRR5665186_k101_81805_1,Adenoma - Normal,-3.5467006324359582,3.9008758808529786e-4,0.0011702627642558936
SRR5665186_k101_81805_1,Cancer - Normal,-3.1920305691923625,0.0014127638000125382,0.0021191457000188075
SRR5665186_k101_28123_1,Adenoma - Cancer,-1.2249211853514037,0.2206049174244978,0.2206049174244978
SRR5665186_k101_28123_1,Adenoma - Normal,-3.9875093906120154,6.677056229809442e-5,2.0031168689428326e-4
SRR5665186_k101_28123_1,Cancer - Normal,-2.7625882052606117,0.005734506494411129,0.008601759741616692
SRR5665187_k101_19843_6,Adenoma - Cancer,-0.9917369030296733,0.3213258842597767,0.3213258842597767
SRR5665187_k101_19843_6,Adenoma - Normal,-3.728774576351724,1.9241317802970226e-4,5.772395340891067e-4
SRR5665187_k101_19843_6,Cancer - Normal,-2.737037673322051,0.00619951929308043,0.009299278939620646
SRR5665187_k101_66109_4,Adenoma - Cancer,-0.8165365935657006,0.41419330302015334,0.41419330302015334
SRR5665187_k101_66109_4,Adenoma - Normal,-3.5514422924965974,3.8312599761055927e-4,0.0011493779928316778
SRR5665187_k101_66109_4,Cancer - Normal,-2.734905698930897,0.006239814926675102,0.009359722390012653
SRR5665187_k101_88989_8,Adenoma - Cancer,-0.635552496099048,0.5250681402042079,0.5250681402042079
SRR5665187_k101_88989_8,Adenoma - Normal,-3.40154857067096,6.700522051619136e-4,0.002010156615485741
SRR5665187_k101_88989_8,Cancer - Normal,-2.765996074571912,0.0056749217912199085,0.008512382686829863
SRR5665187_k101_116104_3,Adenoma - Cancer,-0.4259459080674551,0.6701472618281126,0.6701472618281126
SRR5665187_k101_116104_3,Adenoma - Normal,-3.2306358873423835,0.001235151761919338,0.0037054552857580143
SRR5665187_k101_116104_3,Cancer - Normal,-2.8046899792749285,0.005036499696737707,0.007554749545106561
SRR5665187_k101_55124_1,Adenoma - Cancer,-0.04222211872383452,0.966321630089073,0.966321630089073
SRR5665187_k101_55124_1,Adenoma - Normal,-2.9977704293922174,0.002719624524280312,0.008158873572840935
SRR5665187_k101_55124_1,Cancer - Normal,-2.955548310668383,0.0031211381212354,0.0046817071818531005
SRR5665186_k101_36002_4,Adenoma - Cancer,-0.43581638455434707,0.6629699552159057,0.6629699552159057
SRR5665186_k101_36002_4,Adenoma - Normal,-3.17984547248913,0.0014735360712744981,0.004420608213823495
SRR5665186_k101_36002_4,Cancer - Normal,-2.744029087934783,0.006069015995763026,0.00910352399364454
SRR5665186_k101_43262_1,Adenoma - Cancer,-0.43581638455434707,0.6629699552159057,0.6629699552159057
SRR5665186_k101_43262_1,Adenoma - Normal,-3.17984547248913,0.0014735360712744981,0.004420608213823495
SRR5665186_k101_43262_1,Cancer - Normal,-2.744029087934783,0.006069015995763026,0.00910352399364454
SRR5665186_k101_59625_2,Adenoma - Cancer,-1.1244524943529206,0.2608211130485277,0.2608211130485277
SRR5665186_k101_59625_2,Adenoma - Normal,-3.749293839379737,1.773332086628987e-4,5.319996259886961e-4
SRR5665186_k101_59625_2,Cancer - Normal,-2.6248413450268164,0.00866893507625432,0.01300340261438148
SRR5665187_k101_83326_2,Adenoma - Cancer,-0.3782280628117889,0.705261180112363,0.705261180112363
SRR5665187_k101_83326_2,Adenoma - Normal,-3.1203815181972585,0.0018061694139854451,0.005418508241956336
SRR5665187_k101_83326_2,Cancer - Normal,-2.7421534553854694,0.0061037818596495885,0.009155672789474382
SRR5665187_k101_11924_2,Adenoma - Cancer,-0.042242447140382465,0.9663054248173935,0.9663054248173935
SRR5665187_k101_11924_2,Adenoma - Normal,-2.948522810398663,0.003192965752731693,0.00957889725819508
SRR5665187_k101_11924_2,Cancer - Normal,-2.9062803632582805,0.0036575357169280607,0.005486303575392091
SRR5665187_k101_78912_2,Adenoma - Cancer,-0.5686198326896937,0.5696141626857107,0.5696141626857107
SRR5665187_k101_78912_2,Adenoma - Normal,-3.2124089516902288,0.001316268625093639,0.003948805875280917
SRR5665187_k101_78912_2,Cancer - Normal,-2.643789119000535,0.00819837160120607,0.012297557401809106
SRR5665187_k101_73730_2,Adenoma - Cancer,-1.3287051415121447,0.18394526799192637,0.18394526799192637
SRR5665187_k101_73730_2,Adenoma - Normal,-3.874410125028777,1.0688327948828142e-4,3.2064983846484427e-4
SRR5665187_k101_73730_2,Cancer - Normal,-2.5457049835166323,0.010905731299922566,0.016358596949883848
SRR5665186_k101_22383_1,Adenoma - Cancer,-0.31510385712390593,0.7526828000312619,0.7526828000312619
SRR5665186_k101_22383_1,Adenoma - Normal,-3.0204955447162973,0.0025236142087579935,0.00757084262627398
SRR5665186_k101_22383_1,Cancer - Normal,-2.7053916875923916,0.006822389277144527,0.01023358391571679
SRR5665184_k101_53091_1,Adenoma - Cancer,-0.4897548173543075,0.6243074065615544,0.6243074065615544
SRR5665184_k101_53091_1,Adenoma - Normal,-3.126896141569809,0.001766623236406597,0.005299869709219791
