opf_cluster,Comparison,Z,P.unadj,P.adj
SRR5665184_k101_16111_6,Cancer - Normal,1.3834652471846527,0.16652225623156852,0.24978338434735278
SRR5665184_k101_1619_1,Adenoma - Cancer,1.2563161824277231,0.20900135706361236,0.20900135706361236
SRR5665184_k101_1619_1,Adenoma - Normal,-1.3482417567517002,0.17758063826484316,0.26637095739726474
SRR5665184_k101_1619_1,Cancer - Normal,-2.6045579391794234,0.009199286564823906,0.02759785969447172
SRR5665184_k101_16269_1,Adenoma - Cancer,2.4526036545026564,0.014182651123595062,0.021273976685392593
SRR5665184_k101_16269_1,Adenoma - Normal,-0.05909888324102786,0.9528733481334454,0.9528733481334454
SRR5665184_k101_16269_1,Cancer - Normal,-2.5117025377436843,0.012015031742068645,0.036045095226205935
SRR5665184_k101_16337_1,Adenoma - Cancer,-0.3707382430922948,0.710832503120175,0.710832503120175
SRR5665184_k101_16337_1,Adenoma - Normal,-2.7973885615145946,0.005151753557302306,0.015455260671906917
SRR5665184_k101_16337_1,Cancer - Normal,-2.4266503184223,0.01523893593436882,0.02285840390155323
SRR5665184_k101_16363_2,Adenoma - Cancer,-2.3055534538574256,0.021135596672073563,0.06340679001622068
SRR5665184_k101_16363_2,Adenoma - Normal,-1.9096784956376494,0.05617462143117918,0.08426193214676876
SRR5665184_k101_16363_2,Cancer - Normal,0.39587495821977653,0.6921972755511601,0.6921972755511601
SRR5665184_k101_16386_2,Adenoma - Cancer,-3.334452665742532,8.546744544772439e-4,0.0025640233634317317
SRR5665184_k101_16386_2,Adenoma - Normal,-1.804077214563259,0.07121920315646182,0.10682880473469274
SRR5665184_k101_16386_2,Cancer - Normal,1.5303754511792727,0.1259238218469288,0.1259238218469288
SRR5665184_k101_16430_8,Adenoma - Cancer,-1.8448324961585107,0.06506190871157794,0.0975928630673669
SRR5665184_k101_16430_8,Adenoma - Normal,-2.485786384551952,0.012926553233901307,0.03877965970170392
SRR5665184_k101_16430_8,Cancer - Normal,-0.640953888393441,0.5215526424955962,0.5215526424955962
SRR5665184_k101_16436_1,Adenoma - Cancer,0.12605533068998534,0.899688126280532,0.899688126280532
SRR5665184_k101_16436_1,Adenoma - Normal,-2.1249327173454677,0.03359222749553474,0.05038834124330211
SRR5665184_k101_16436_1,Cancer - Normal,-2.250988048035453,0.024386294384696455,0.07315888315408936
SRR5665184_k101_16447_1,Adenoma - Cancer,-2.745878221750492,0.006034916012432274,0.018104748037296822
SRR5665184_k101_16447_1,Adenoma - Normal,-1.7802946712448247,0.07502774875754932,0.11254162313632399
SRR5665184_k101_16447_1,Cancer - Normal,0.9655835505056674,0.334252609724006,0.334252609724006
SRR5665184_k101_16479_1,Adenoma - Cancer,-1.8791308124743555,0.06022663382078258,0.09033995073117387
SRR5665184_k101_16479_1,Adenoma - Normal,-2.4187645880683033,0.015573315135994944,0.04671994540798483
SRR5665184_k101_16479_1,Cancer - Normal,-0.539633775593948,0.5894496189363758,0.5894496189363758
SRR5665184_k101_16567_1,Adenoma - Cancer,2.324047213530372,0.020122963719633034,0.03018444557944955
SRR5665184_k101_16567_1,Adenoma - Normal,-0.3934700187464394,0.693972363541198,0.693972363541198
SRR5665184_k101_16567_1,Cancer - Normal,-2.717517232276811,0.006577373022615969,0.019732119067847907
SRR5665184_k101_16616_2,Adenoma - Cancer,-1.9193019473307733,0.05494613172705464,0.08241919759058196
SRR5665184_k101_16616_2,Adenoma - Normal,-2.287122061156411,0.02218869954040376,0.06656609862121128
SRR5665184_k101_16616_2,Cancer - Normal,-0.367820113825638,0.7130073701652506,0.7130073701652506
SRR5665184_k101_16946_1,Adenoma - Cancer,-1.4355908619618032,0.15111879650423748,0.22667819475635623
SRR5665184_k101_16946_1,Adenoma - Normal,1.3012665707840911,0.19316722556976618,0.19316722556976618
SRR5665184_k101_16946_1,Cancer - Normal,2.7368574327458943,0.0062029168621448175,0.018608750586434453
SRR5665184_k101_1707_1,Adenoma - Cancer,-0.4856427062837332,0.6272205118112286,0.6272205118112286
SRR5665184_k101_1707_1,Adenoma - Normal,-2.479877649108421,0.013142747172083033,0.0394282415162491
SRR5665184_k101_1707_1,Cancer - Normal,-1.994234942824688,0.04612638514412775,0.06918957771619162
SRR5665184_k101_17170_2,Adenoma - Cancer,-0.48683643080038985,0.626374250925804,0.626374250925804
SRR5665184_k101_17170_2,Adenoma - Normal,-2.3757617823059003,0.01751276491178955,0.052538294735368654
SRR5665184_k101_17170_2,Cancer - Normal,-1.8889253515055104,0.05890183194548208,0.08835274791822312
SRR5665184_k101_17172_2,Adenoma - Cancer,0.7839444001260586,0.43307273545403757,0.43307273545403757
SRR5665184_k101_17172_2,Adenoma - Normal,-1.9057958692719663,0.056676695084442716,0.08501504262666407
SRR5665184_k101_17172_2,Cancer - Normal,-2.689740269398025,0.007150764990529373,0.02145229497158812
SRR5665184_k101_1725_15,Adenoma - Cancer,-1.8983536705520792,0.05764950828878408,0.08647426243317613
SRR5665184_k101_1725_15,Adenoma - Normal,-2.292816770926537,0.02185855606593445,0.06557566819780335
SRR5665184_k101_1725_15,Cancer - Normal,-0.3944631003744577,0.6932391649080585,0.6932391649080585
SRR5665184_k101_1729_2,Adenoma - Cancer,-1.892059539035456,0.05848304843019865,0.08772457264529798
SRR5665184_k101_1729_2,Adenoma - Normal,-2.457108994132017,0.014006018559030229,0.04201805567709069
SRR5665184_k101_1729_2,Cancer - Normal,-0.5650494550965612,0.5720401264856141,0.5720401264856141
SRR5665184_k101_17548_1,Adenoma - Cancer,-0.3873850200259705,0.6984711920519774,0.6984711920519774
SRR5665184_k101_17548_1,Adenoma - Normal,-2.3417206828536274,0.019195074278309906,0.057585222834929714
SRR5665184_k101_17548_1,Cancer - Normal,-1.954335662827657,0.05066153391133439,0.0759923008670016
SRR5665184_k101_17707_1,Adenoma - Cancer,1.1011899390898785,0.27081399954024343,0.27081399954024343
SRR5665184_k101_17707_1,Adenoma - Normal,-1.5712631146697504,0.11612154515263429,0.17418231772895143
SRR5665184_k101_17707_1,Cancer - Normal,-2.672453053759629,0.007529890979222113,0.02258967293766634
SRR5665184_k101_18040_2,Adenoma - Cancer,-0.6316548490541072,0.527612437526926,0.527612437526926
SRR5665184_k101_18040_2,Adenoma - Normal,-2.388745495153859,0.016906009187681165,0.0507180275630435
SRR5665184_k101_18040_2,Cancer - Normal,-1.7570906460997517,0.07890235984328127,0.11835353976492191
SRR5665184_k101_18059_2,Adenoma - Cancer,1.4160450991683744,0.15676230055863272,0.15676230055863272
SRR5665184_k101_18059_2,Adenoma - Normal,-1.4283585348133172,0.15318868766562416,0.22978303149843624
SRR5665184_k101_18059_2,Cancer - Normal,-2.844403633981692,0.00444946427736303,0.013348392832089091
SRR5665184_k101_18136_3,Adenoma - Cancer,-1.8489481757558002,0.06446529631941428,0.09669794447912142
SRR5665184_k101_18136_3,Adenoma - Normal,-2.7171021483246456,0.00658562789411516,0.019756883682345478
SRR5665184_k101_18136_3,Cancer - Normal,-0.8681539725688455,0.3853100476125541,0.3853100476125541
SRR5665184_k101_18355_2,Adenoma - Cancer,-1.7632091153997134,0.0778652269532742,0.11679784042991131
SRR5665184_k101_18355_2,Adenoma - Normal,-3.2092942891807743,0.0013306122333865984,0.003991836700159795
SRR5665184_k101_18355_2,Cancer - Normal,-1.4460851737810612,0.1481533136607828,0.1481533136607828
SRR5665184_k101_18410_2,Adenoma - Cancer,-2.5641919096540544,0.010341634625664956,0.015512451938497434
SRR5665184_k101_18410_2,Adenoma - Normal,-2.5970661649060296,0.009402381066582869,0.028207143199748607
SRR5665184_k101_18410_2,Cancer - Normal,-0.03287425525197521,0.9737748630286801,0.9737748630286801
SRR5665184_k101_18541_1,Adenoma - Cancer,-2.1807693599213973,0.02920047992045783,0.04380071988068675
SRR5665184_k101_18541_1,Adenoma - Normal,-2.372545559914485,0.017665984268435884,0.052997952805307655
SRR5665184_k101_18541_1,Cancer - Normal,-0.1917761999930877,0.8479175145686844,0.8479175145686844
SRR5665184_k101_1892_2,Adenoma - Cancer,-0.5145273597795772,0.6068833368337434,0.6068833368337434
SRR5665184_k101_1892_2,Adenoma - Normal,-2.847051390780334,0.004412623833752631,0.013237871501257895
SRR5665184_k101_1892_2,Cancer - Normal,-2.3325240310007564,0.019673140223871854,0.02950971033580778
