SRR5665187_k101_19843_6	sp|P44176|RNAAM_HAEIN	38.8	245	149	1	3	247	6	249	1.2e-40	168.3
SRR5665187_k101_17070_1	sp|Q4A009|LYTS_STAS1	31.8	217	134	6	352	559	379	590	2.1e-20	102.1
SRR5665187_k101_88989_8	sp|O31527|YESX_BACSU	42.8	444	175	15	408	829	225	611	6.9e-89	330.5
SRR5665187_k101_122651_1	sp|P71355|Y663_HAEIN	44.3	244	136	0	3	246	309	552	1.7e-54	214.2
SRR5665187_k101_88989_9	sp|Q59418|OGL_PECAS	37.5	389	232	7	1	386	1	381	2.5e-76	287.3
SRR5665187_k101_8741_1	sp|B3ETC6|ERA_AMOA5	57.7	291	120	2	2	291	6	294	1.8e-87	323.9
SRR5665184_k101_23465_1	sp|Q5LCE6|COBT_BACFN	82.0	222	40	0	1	222	124	345	7.2e-105	381.3
SRR5665184_k101_23497_1	sp|Q5LB17|DPP7_BACFN	64.2	324	112	2	1	320	231	554	8.2e-110	398.3
SRR5665186_k101_9557_2	sp|P15281|SP3D_BACSU	57.5	80	34	0	21	100	5	84	5.6e-20	98.2
SRR5665187_k101_75129_1	sp|A1SB13|AROB_SHEAM	49.8	261	129	2	1	260	98	357	1.2e-63	244.6
SRR5665187_k101_104766_11	sp|P58883|PYRF_CALS4	47.9	96	49	1	1	95	208	303	8.3e-18	90.9
SRR5665187_k101_85259_2	sp|P43641|MTMU_MYCSP	37.8	193	93	4	5	177	31	216	3.5e-28	126.3
SRR5665184_k101_53476_1	sp|O83490|6PGL_TREPA	38.7	191	112	2	8	198	29	214	2.0e-32	140.6
SRR5665184_k101_19974_2	sp|P54456|YQEK_BACSU	41.9	160	91	2	90	249	14	171	1.0e-28	128.6
SRR5665184_k101_40788_2	sp|O32037|TCDA_BACSU	36.9	241	136	3	7	236	7	242	2.8e-38	160.2
SRR5665187_k101_8215_4	sp|Q0TNR8|RS20_CLOP1	61.6	86	33	0	1	86	1	86	1.6e-18	93.2
SRR5665187_k101_77395_1	sp|Q9KEE9|ARAQ_BACHD	27.3	267	191	3	6	270	14	279	7.8e-29	129.0
SRR5665187_k101_10592_1	sp|P19704|T1SA_ECOLX	28.6	266	152	5	24	285	39	270	3.7e-21	103.6
SRR5665186_k101_32895_1	sp|P50487|Y397_CLOPE	38.3	230	140	2	1	230	205	432	8.0e-38	158.7
SRR5665184_k101_27693_11	sp|P45950|YQBQ_BACSU	32.8	314	186	12	16	317	12	312	2.2e-30	134.4
SRR5665186_k101_57789_5	sp|O34319|YKCC_BACSU	31.9	307	191	8	5	299	7	307	7.4e-31	136.0
SRR5665186_k101_35210_1	sp|B9DU35|PEPT_STRU0	43.4	136	76	1	1	135	270	405	1.1e-26	120.9
SRR5665187_k101_4634_5	sp|Q97FS4|PYRI_CLOAB	53.8	80	37	0	1	80	2	81	1.1e-16	87.0
