#Sample	Metric	Value
2003650	Weighted NSTI	0.0521958238739
2005650	Weighted NSTI	0.0586859376102
2007660	Weighted NSTI	0.0528057221711
2009650	Weighted NSTI	0.0564078715054
2013660	Weighted NSTI	0.0504301802049
2015650	Weighted NSTI	0.0515610711476
2017660	Weighted NSTI	0.0604256195963
2019651	Weighted NSTI	0.0505812327542
2023680	Weighted NSTI	0.0833946994953
2025653	Weighted NSTI	0.0502757215792
2027653	Weighted NSTI	0.049989793543
2029650	Weighted NSTI	0.065082527272
2031650	Weighted NSTI	0.0511550269656
2033650	Weighted NSTI	0.0547728650203
2035650	Weighted NSTI	0.0536485461564
2037653	Weighted NSTI	0.0503169350433
2039650	Weighted NSTI	0.0502500098212
2041650	Weighted NSTI	0.0507817689823
2043650	Weighted NSTI	0.0615085547947
2045653	Weighted NSTI	0.0507623640961
2049653	Weighted NSTI	0.0497027435609
2051660	Weighted NSTI	0.0500933643049
2055690	Weighted NSTI	0.0526267885139
2057650	Weighted NSTI	0.0501423324665
2059653	Weighted NSTI	0.0734030103036
2061650	Weighted NSTI	0.0502957127821
2063650	Weighted NSTI	0.0498704370177
2065651	Weighted NSTI	0.0505986287193
2067650	Weighted NSTI	0.0540789216675
2071650	Weighted NSTI	0.0723332740417
2073650	Weighted NSTI	0.0663787987662
2075650	Weighted NSTI	0.050347099557
2077653	Weighted NSTI	0.050185036579
2081660	Weighted NSTI	0.0500165245394
2083650	Weighted NSTI	0.0509369363994
2085653	Weighted NSTI	0.0494677631568
2087650	Weighted NSTI	0.0500820561579
2093650	Weighted NSTI	0.0507052949128
2097653	Weighted NSTI	0.0510689019799
2103650	Weighted NSTI	0.0560236660998
2105652	Weighted NSTI	0.0499059878583
2107650	Weighted NSTI	0.0500122687796
2109653	Weighted NSTI	0.0607024348614
2113670	Weighted NSTI	0.0512806126868
2115650	Weighted NSTI	0.0570152743882
2117651	Weighted NSTI	0.0553077224019
2119650	Weighted NSTI	0.0501453233769
2123652	Weighted NSTI	0.0496857448881
2125650	Weighted NSTI	0.0802399319293
2127650	Weighted NSTI	0.0504329084334
2129660	Weighted NSTI	0.0503925209555
2131650	Weighted NSTI	0.0505710492491
2133650	Weighted NSTI	0.0536770821831
2137650	Weighted NSTI	0.0500225018081
2139650	Weighted NSTI	0.0599393580621
2143653	Weighted NSTI	0.049875150203
2145660	Weighted NSTI	0.0538538704873
2147680	Weighted NSTI	0.0770282139844
2149650	Weighted NSTI	0.053757586088
2151650	Weighted NSTI	0.0523466706207
2153660	Weighted NSTI	0.0579703593024
2155650	Weighted NSTI	0.0509504406202
2157660	Weighted NSTI	0.0517658201593
2159650	Weighted NSTI	0.0519690022484
2161653	Weighted NSTI	0.091047656323
2163653	Weighted NSTI	0.0499357986647
2165652	Weighted NSTI	0.0566569772448
2167670	Weighted NSTI	0.0507716126706
2169653	Weighted NSTI	0.0520267324433
2171690	Weighted NSTI	0.0504181230055
2173650	Weighted NSTI	0.0501242494284
2177653	Weighted NSTI	0.0498851407006
2179650	Weighted NSTI	0.0510089521503
2181650	Weighted NSTI	0.051763464267
2183650	Weighted NSTI	0.059508169865
2185670	Weighted NSTI	0.075111217611
2187680	Weighted NSTI	0.0573863246989
2189650	Weighted NSTI	0.0505816051248
2193650	Weighted NSTI	0.0531071079645
2195651	Weighted NSTI	0.0593698372425
2197670	Weighted NSTI	0.0640770679938
2199650	Weighted NSTI	0.0508134287379
2201650	Weighted NSTI	0.0502989997577
2203653	Weighted NSTI	0.0513759455298
2205670	Weighted NSTI	0.0672696820131
2207653	Weighted NSTI	0.0513617342518
2215650	Weighted NSTI	0.0513887256404
2219650	Weighted NSTI	0.0525957187053
2221650	Weighted NSTI	0.0506073752245
2223650	Weighted NSTI	0.051107738834
2225650	Weighted NSTI	0.0858201825231
2227660	Weighted NSTI	0.051850535779
2229653	Weighted NSTI	0.0647545917095
2231653	Weighted NSTI	0.0511007424654
2237650	Weighted NSTI	0.0545209919269
2239650	Weighted NSTI	0.0522384100757
2241650	Weighted NSTI	0.0510589889358
2243651	Weighted NSTI	0.0497735737062
2249650	Weighted NSTI	0.0480782388701
2253660	Weighted NSTI	0.0545871460813
2255653	Weighted NSTI	0.0585912713286
2257660	Weighted NSTI	0.0505680196536
2261650	Weighted NSTI	0.0499086889978
2265651	Weighted NSTI	0.0501692353068
2267653	Weighted NSTI	0.0498974655148
2271650	Weighted NSTI	0.0506533617753
2277650	Weighted NSTI	0.0506181255122
2279650	Weighted NSTI	0.0565732723855
2281651	Weighted NSTI	0.0517650219832
2283670	Weighted NSTI	0.0524346125038
2285653	Weighted NSTI	0.0507005810826
2287660	Weighted NSTI	0.0538121084391
2289650	Weighted NSTI	0.0556372828421
2291653	Weighted NSTI	0.0503496344457
2293650	Weighted NSTI	0.0501221173689
2295650	Weighted NSTI	0.0564174195217
2297650	Weighted NSTI	0.053232056572
2301650	Weighted NSTI	0.0502861998399
2305651	Weighted NSTI	0.0494889485972
2307650	Weighted NSTI	0.0496826198922
2309650	Weighted NSTI	0.0502511219772
2313680	Weighted NSTI	0.0497644970364
